Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
415,15,38,12,10,16,46,2004-2005,47,4
416,16,38,12,8,18,44,2004-2005,52,4
417,17,38,10,9,19,39,2004-2005,45,4
418,18,38,9,10,19,37,2004-2005,61,4
419,19,38,6,11,21,29,2004-2005,62,4
420,20,38,6,10,22,28,2004-2005,58,4
421,1,38,25,7,6,82,2005-2006,42,4
422,2,38,20,10,8,70,2005-2006,37,4
423,3,38,19,12,7,69,2005-2006,41,4
424,4,38,21,5,12,68,2005-2006,47,4
425,5,38,20,8,10,68,2005-2006,46,4
426,6,38,20,4,14,64,2005-2006,40,4
427,7,38,14,15,9,57,2005-2006,51,4
428,8,38,15,10,13,55,2005-2006,39,4
429,9,38,15,9,14,54,2005-2006,60,4
430,10,38,13,13,12,52,2005-2006,48,4
431,11,38,10,16,12,46,2005-2006,57,4
432,12,38,11,12,15,45,2005-2006,43,4
433,13,38,10,13,15,43,2005-2006,45,4
434,14,38,10,12,16,42,2005-2006,44,4
435,15,38,10,11,17,41,2005-2006,53,4
436,16,38,11,7,20,40,2005-2006,38,4
437,17,38,9,13,16,40,2005-2006,52,4
438,18,38,9,12,17,39,2005-2006,55,4
439,19,38,8,12,18,36,2005-2006,63,4
440,20,38,5,9,24,24,2005-2006,49,4
441,1,38,23,7,8,76,2006-2007,37,4
442,2,38,22,10,6,76,2006-2007,42,4
443,3,38,21,8,9,71,2006-2007,46,4
444,4,38,20,6,12,66,2006-2007,41,4
445,5,38,18,8,12,62,2006-2007,51,4
446,6,38,16,12,10,60,2006-2007,57,4
447,7,38,17,9,12,60,2006-2007,48,4
448,8,38,15,9,14,54,2006-2007,54,4
449,9,38,14,10,14,52,2006-2007,60,4
450,10,38,12,14,12,50,2006-2007,52,4
451,11,38,12,13,13,49,2006-2007,53,4
452,12,38,14,7,17,49,2006-2007,45,4
453,13,38,12,11,15,47,2006-2007,39,4
454,14,38,13,7,18,46,2006-2007,47,4
455,15,38,10,12,16,42,2006-2007,61,4
456,16,38,8,16,14,40,2006-2007,44,4
457,17,38,10,10,18,40,2006-2007,43,4
458,18,38,10,9,19,39,2006-2007,40,4
459,19,38,8,11,19,35,2006-2007,38,4
460,20,38,7,7,24,28,2006-2007,64,4
461,1,38,27,4,7,85,2007-2008,37,4
462,2,38,24,5,9,77,2007-2008,51,4
463,3,38,19,10,9,67,2007-2008,42,4
464,4,38,19,7,12,64,2007-2008,48,4
465,5,38,20,4,14,64,2007-2008,46,4
466,6,38,17,9,12,60,2007-2008,52,4
467,7,38,15,14,9,59,2007-2008,45,4
468,8,38,14,10,14,52,2007-2008,65,4
469,9,38,15,7,16,52,2007-2008,39,4
470,10,38,15,6,17,51,2007-2008,41,4
471,11,38,13,11,14,50,2007-2008,43,4
472,12,38,13,9,16,48,2007-2008,53,4
473,13,38,12,11,15,47,2007-2008,44,4
474,14,38,12,11,15,47,2007-2008,60,4
475,15,38,11,12,15,45,2007-2008,50,4
476,16,38,11,11,16,44,2007-2008,54,4
477,17,38,12,7,19,43,2007-2008,47,4
478,18,38,10,12,16,42,2007-2008,57,4
479,19,38,7,9,22,30,2007-2008,59,4
480,20,38,7,5,26,26,2007-2008,61,4
481,1,38,27,6,5,87,2008-2009,42,4
482,2,38,25,3,10,78,2008-2009,37,4
483,3,38,21,7,10,70,2008-2009,46,4
484,4,38,20,7,11,67,2008-2009,48,4
485,5,38,18,11,9,65,2008-2009,51,4
486,6,38,18,8,12,62,2008-2009,41,4
487,7,38,16,10,12,58,2008-2009,39,4
488,8,38,15,10,13,55,2008-2009,49,4
489,9,38,14,9,15,51,2008-2009,45,4
490,10,38,12,11,15,47,2008-2009,53,4
491,11,38,13,7,18,46,2008-2009,65,4
492,12,38,12,10,16,46,2008-2009,52,4
493,13,38,12,8,18,44,2008-2009,43,4
494,14,38,14,1,23,43,2008-2009,66,4
495,15,38,10,13,15,43,2008-2009,47,4
496,16,38,12,7,19,43,2008-2009,50,4
497,17,38,10,12,16,42,2008-2009,60,4
498,18,38,10,12,16,42,2008-2009,44,4
499,19,38,10,5,23,35,2008-2009,62,4
500,20,38,8,9,21,33,2008-2009,54,4
501,1,38,31,6,1,99,2009-2010,42,4
502,2,38,31,3,4,96,2009-2010,37,4
503,3,38,21,8,9,71,2009-2010,41,4
504,4,38,19,6,13,63,2009-2010,46,4
505,5,38,18,8,12,62,2009-2010,45,4
506,6,38,17,7,14,58,2009-2010,60,4
507,7,38,16,8,14,56,2009-2010,51,4
508,8,38,15,9,14,54,2009-2010,43,4
509,9,38,13,8,17,47,2009-2010,48,4
510,10,38,13,8,17,47,2009-2010,39,4
511,11,38,11,11,16,44,2009-2010,53,4
512,12,38,11,10,17,43,2009-2010,47,4
513,13,38,10,12,16,42,2009-2010,65,4
514,14,38,10,11,17,41,2009-2010,57,4
515,15,38,9,13,16,40,2009-2010,66,4
516,16,38,9,12,17,39,2009-2010,52,4
517,17,38,7,16,15,37,2009-2010,49,4
518,18,38,7,15,16,36,2009-2010,50,4
519,19,38,9,9,20,36,2009-2010,67,4
520,20,38,8,10,20,34,2009-2010,68,4
521,1,38,30,6,2,96,2010-2011,42,4
522,2,38,29,5,4,92,2010-2011,37,4
523,3,38,21,8,9,71,2010-2011,41,4
524,4,38,18,8,12,62,2010-2011,51,4
525,5,38,17,7,14,58,2010-2011,46,4
526,6,38,18,4,16,58,2010-2011,43,4
527,7,38,17,7,14,58,2010-2011,48,4
528,8,38,15,4,19,49,2010-2011,53,4
529,9,38,13,8,17,47,2010-2011,47,4
530,10,38,11,14,13,47,2010-2011,66,4
531,11,38,13,7,18,46,2010-2011,49,4
532,12,38,12,10,16,46,2010-2011,52,4
533,13,38,12,9,17,45,2010-2011,57,4
534,14,38,12,9,17,45,2010-2011,61,4
535,15,38,14,3,21,45,2010-2011,38,4
536,16,38,12,8,18,44,2010-2011,60,4
537,17,38,12,8,18,44,2010-2011,45,4
538,18,38,10,13,15,43,2010-2011,39,4
539,19,38,9,8,21,35,2010-2011,69,4
540,20,38,6,12,20,30,2010-2011,65,4
541,1,38,32,4,2,100,2011-2012,37,4
542,2,38,28,7,3,91,2011-2012,42,4
543,3,38,17,10,11,61,2011-2012,41,4
544,4,38,17,7,14,58,2011-2012,49,4
545,5,38,15,11,12,56,2011-2012,48,4
546,6,38,16,7,15,55,2011-2012,61,4
547,7,38,13,15,10,54,2011-2012,47,4
548,8,38,14,10,14,52,2011-2012,45,4
549,9,38,13,11,14,50,2011-2012,46,4
550,10,38,12,13,13,49,2011-2012,43,4
551,11,38,12,11,15,47,2011-2012,60,4
552,12,38,12,11,15,47,2011-2012,38,4
553,13,38,13,8,17,47,2011-2012,44,4
554,14,38,12,10,16,46,2011-2012,53,4
555,15,38,13,4,21,43,2011-2012,56,4
556,16,38,12,7,19,43,2011-2012,57,4
557,17,38,12,6,20,42,2011-2012,70,4
558,18,38,9,14,15,41,2011-2012,51,4
559,19,38,10,7,21,37,2011-2012,66,4
560,20,38,4,15,19,27,2011-2012,52,4
561,1,38,32,4,2,100,2012-2013,42,4
562,2,38,26,7,5,85,2012-2013,37,4
563,3,38,23,7,8,76,2012-2013,48,4
564,4,38,18,12,8,66,2012-2013,38,4
565,5,38,19,8,11,65,2012-2013,41,4
566,6,38,16,9,13,57,2012-2013,49,4
567,7,38,16,8,14,56,2012-2013,44,4
568,8,38,16,5,17,53,2012-2013,56,4
569,9,38,14,8,16,50,2012-2013,46,4
570,10,38,13,8,17,47,2012-2013,60,4
571,11,38,12,10,16,46,2012-2013,61,4
572,12,38,12,9,17,45,2012-2013,43,4
573,13,38,11,11,16,44,2012-2013,53,4
574,14,38,11,10,17,43,2012-2013,50,4
575,15,38,11,9,18,42,2012-2013,70,4
576,16,38,10,9,19,39,2012-2013,47,4
577,17,38,10,7,21,37,2012-2013,40,4
578,18,38,9,9,20,36,2012-2013,45,4
579,19,38,8,11,19,35,2012-2013,39,4
580,20,38,9,7,22,34,2012-2013,57,4
581,1,38,28,6,4,90,2013-2014,48,4
582,2,38,27,6,5,87,2013-2014,42,4
583,3,38,27,6,5,87,2013-2014,37,4
584,4,38,20,10,8,70,2013-2014,43,4
585,5,38,18,9,11,63,2013-2014,46,4
586,6,38,17,8,13,59,2013-2014,51,4
587,7,38,16,11,11,59,2013-2014,38,4
588,8,38,13,10,15,49,2013-2014,41,4
589,9,38,14,7,17,49,2013-2014,40,4
590,10,38,12,12,14,48,2013-2014,61,4
591,11,38,12,9,17,45,2013-2014,49,4
592,12,38,13,4,21,43,2013-2014,56,4
593,13,38,11,9,18,42,2013-2014,60,4
594,14,38,11,9,18,42,2013-2014,53,4
595,15,38,12,5,21,41,2013-2014,70,4
596,16,38,9,13,16,40,2013-2014,71,4
597,17,38,11,7,20,40,2013-2014,65,4
598,18,38,10,9,19,39,2013-2014,47,4
599,19,38,7,15,16,36,2013-2014,50,4
600,20,38,6,7,25,25,2013-2014,44,4
601,1,38,30,4,4,94,2014-2015,42,4
602,2,38,30,2,6,92,2014-2015,37,4
603,3,38,23,9,6,78,2014-2015,48,4
604,4,38,22,11,5,77,2014-2015,41,4
605,5,38,23,7,8,76,2014-2015,46,4
606,6,38,16,12,10,60,2014-2015,51,4
607,7,38,15,10,13,55,2014-2015,43,4
608,8,38,13,12,13,51,2014-2015,40,4
609,9,38,14,8,16,50,2014-2015,49,4
610,10,38,13,10,15,49,2014-2015,53,4
611,11,38,15,4,19,49,2014-2015,56,4
612,12,38,11,13,14,46,2014-2015,38,4
613,13,38,11,8,19,41,2014-2015,71,4
614,14,38,9,10,19,37,2014-2015,61,4
615,15,38,10,7,21,37,2014-2015,60,4
616,16,38,7,14,17,35,2014-2015,39,4
617,17,38,7,14,17,35,2014-2015,70,4
618,18,38,9,8,21,35,2014-2015,72,4
619,19,38,8,8,22,29,2014-2015,65,4
620,20,38,3,11,24,20,2014-2015,73,4
621,1,38,29,4,5,91,2015-2016,42,4
622,2,38,28,6,4,90,2015-2016,37,4
623,3,38,28,4,6,88,2015-2016,48,4
624,4,38,18,10,10,64,2015-2016,51,4
625,5,38,18,8,12,62,2015-2016,43,4
626,6,38,17,9,12,60,2015-2016,40,4
627,7,38,14,10,14,52,2015-2016,46,4
628,8,38,12,12,14,48,2015-2016,49,4
629,9,38,13,9,16,48,2015-2016,38,4
630,10,38,11,12,15,45,2015-2016,44,4
631,11,38,12,8,18,44,2015-2016,74,4
632,12,38,11,11,16,44,2015-2016,41,4
633,13,38,12,7,19,43,2015-2016,53,4
634,14,38,11,10,17,43,2015-2016,72,4
635,15,38,8,18,12,42,2015-2016,39,4
636,16,38,10,9,19,39,2015-2016,70,4
637,17,38,10,9,19,39,2015-2016,66,4
638,18,38,9,11,18,38,2015-2016,56,4
639,19,38,9,9,20,36,2015-2016,60,4
640,20,38,8,8,22,32,2015-2016,61,4
641,1,38,29,6,3,93,2016-2017,37,4
642,2,38,28,6,4,90,2016-2017,42,4
643,3,38,23,9,6,78,2016-2017,48,4
644,4,38,21,9,8,72,2016-2017,46,4
645,5,38,19,10,9,67,2016-2017,51,4
646,6,38,19,7,12,64,2016-2017,38,4
647,7,38,19,6,13,63,2016-2017,43,4
648,8,38,15,11,12,56,2016-2017,53,4
649,9,38,14,13,11,55,2016-2017,55,4
650,10,38,15,9,14,54,2016-2017,72,4
651,11,38,12,10,16,46,2016-2017,49,4
652,12,38,13,7,18,46,2016-2017,41,4
653,13,38,13,6,19,45,2016-2017,40,4
654,14,38,10,9,19,39,2016-2017,74,4
655,15,38,10,9,19,39,2016-2017,44,4
656,16,38,8,12,18,36,2016-2017,39,4
657,17,38,8,11,19,35,2016-2017,75,4
658,18,38,7,10,21,31,2016-2017,66,4
659,19,38,4,10,24,22,2016-2017,47,4
660,20,38,4,8,26,20,2016-2017,70,4
661,1,38,28,9,1,93,2017-2018,42,4
662,2,38,23,10,5,79,2017-2018,48,4
663,3,38,22,10,6,76,2017-2018,37,4
664,4,38,22,7,9,73,2017-2018,41,4
665,5,38,18,7,13,61,2017-2018,51,4
666,6,38,18,6,14,60,2017-2018,44,4
667,7,38,17,7,14,58,2017-2018,46,4
668,8,38,15,10,13,55,2017-2018,60,4
669,9,38,14,9,15,51,2017-2018,72,4
670,10,38,14,9,15,51,2017-2018,76,4
671,11,38,12,13,13,49,2017-2018,53,4
672,12,38,14,7,17,49,2017-2018,38,4
673,13,38,13,10,15,49,2017-2018,40,4
674,14,38,15,2,21,47,2017-2018,55,4
675,15,38,11,13,14,46,2017-2018,61,4
676,16,38,10,13,15,43,2017-2018,43,4
677,17,38,12,7,19,43,2017-2018,75,4
678,18,38,6,11,21,29,2017-2018,39,4
679,19,38,5,7,26,22,2017-2018,74,4
680,20,38,5,5,28,20,2017-2018,49,4
681,1,38,26,9,3,87,2018-2019,42,4
682,2,38,22,10,6,76,2018-2019,48,4
683,3,38,21,5,12,68,2018-2019,37,4
684,4,38,15,16,7,61,2018-2019,41,4
685,5,38,15,14,9,59,2018-2019,60,4
686,6,38,17,8,13,59,2018-2019,46,4
687,7,38,14,11,13,53,2018-2019,53,4
688,8,38,13,14,11,53,2018-2019,43,4
689,9,38,13,11,14,50,2018-2019,38,4
690,10,38,14,8,16,50,2018-2019,44,4
691,11,38,13,11,14,50,2018-2019,55,4
692,12,38,11,14,13,47,2018-2019,72,4
693,13,38,11,12,15,45,2018-2019,75,4
694,14,38,10,14,14,44,2018-2019,51,4
695,15,38,11,11,16,44,2018-2019,61,4
696,16,38,10,11,17,41,2018-2019,50,4
697,17,38,10,11,17,41,2018-2019,40,4
698,18,38,9,10,19,37,2018-2019,76,4
699,19,38,7,12,19,33,2018-2019,77,4
700,20,38,8,8,22,32,2018-2019,56,4
701,1,38,26,9,3,87,2019-2020,37,4
702,2,38,25,7,6,82,2019-2020,42,4
703,3,38,18,16,4,70,2019-2020,48,4
704,4,38,19,13,6,70,2019-2020,46,4
705,5,38,18,6,14,60,2019-2020,51,4
706,6,38,16,8,14,56,2019-2020,38,4
707,7,38,16,8,14,56,2019-2020,70,4
708,8,38,14,12,12,54,2019-2020,60,4
709,9,38,14,11,13,53,2019-2020,41,4
710,10,38,13,13,12,52,2019-2020,47,4
711,11,38,13,12,13,51,2019-2020,43,4
712,12,38,14,7,17,49,2019-2020,61,4
713,13,38,9,15,14,42,2019-2020,50,4
714,14,38,11,9,18,42,2019-2020,72,4
715,15,38,10,11,17,41,2019-2020,44,4
716,16,38,10,9,19,39,2019-2020,55,4
717,17,38,7,16,15,37,2019-2020,40,4
718,18,38,8,12,18,36,2019-2020,75,4
719,19,38,9,6,23,33,2019-2020,45,4
720,20,38,5,10,23,25,2019-2020,53,4
721,1,38,26,8,4,86,2020-2021,48,4
722,2,38,25,9,4,84,2020-2021,37,4
723,3,38,24,7,7,79,2020-2021,42,4
724,4,38,24,5,9,77,2020-2021,46,4
725,5,38,17,11,10,62,2020-2021,38,4
726,6,38,17,10,11,61,2020-2021,44,4
727,7,38,15,13,10,58,2020-2021,51,4
728,8,38,14,11,13,53,2020-2021,40,4
729,9,38,13,7,18,46,2020-2021,70,4
730,10,38,11,13,14,46,2020-2021,43,4
731,11,38,11,11,16,44,2020-2021,47,4
732,12,38,11,11,16,44,2020-2021,63,4
733,13,38,10,13,15,43,2020-2021,41,4
734,14,38,9,14,15,41,2020-2021,61,4
735,15,38,9,11,18,38,2020-2021,60,4
736,16,38,9,11,18,38,2020-2021,55,4
737,17,38,8,12,18,36,2020-2021,71,4
738,18,38,7,13,18,34,2020-2021,77,4
739,19,38,5,16,17,31,2020-2021,50,4
740,20,38,6,12,20,30,2020-2021,72,4
741,1,38,26,8,4,86,2021-2022,37,4
742,2,38,21,10,7,73,2021-2022,42,4
743,3,38,21,8,9,71,2021-2022,48,4
744,4,38,18,16,4,70,2021-2022,46,4
745,5,38,19,8,11,65,2021-2022,44,4
746,6,38,17,11,10,62,2021-2022,38,4
747,7,38,16,11,11,59,2021-2022,51,4
748,8,38,14,13,11,55,2021-2022,43,4
749,9,38,11,15,12,48,2021-2022,41,4
750,10,38,12,11,15,47,2021-2022,47,4
751,11,38,12,10,16,46,2021-2022,40,4
752,12,38,11,9,18,42,2021-2022,56,4
753,13,38,11,9,18,42,2021-2022,71,4
754,14,38,10,12,16,42,2021-2022,53,4
755,15,38,8,15,15,39,2021-2022,60,4
756,16,38,10,9,19,39,2021-2022,45,4
757,17,38,8,15,15,39,2021-2022,63,4
758,18,38,8,14,16,38,2021-2022,70,4
759,19,38,8,11,19,35,2021-2022,61,4
760,20,38,8,7,23,31,2021-2022,55,4
