Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
56,2,34,21,7,6,70,2005-2006,6,3
57,3,34,21,5,8,68,2005-2006,4,3
58,4,34,16,13,5,61,2005-2006,7,3
59,5,34,14,10,10,52,2005-2006,15,3
60,6,34,12,12,10,48,2005-2006,5,3
61,7,34,11,13,10,46,2005-2006,3,3
62,8,34,12,8,14,44,2005-2006,17,3
63,9,34,9,16,9,43,2005-2006,2,3
64,10,34,10,12,12,42,2005-2006,12,3
65,11,34,9,11,14,38,2005-2006,22,3
66,12,34,7,17,10,38,2005-2006,11,3
67,13,34,10,7,17,37,2005-2006,16,3
68,14,34,9,9,16,36,2005-2006,20,3
69,15,34,7,13,14,34,2005-2006,8,3
70,16,34,8,9,17,33,2005-2006,14,3
71,17,34,7,9,18,30,2005-2006,21,3
72,18,34,5,12,17,27,2005-2006,23,3
73,1,34,21,7,6,70,2006-2007,2,3
74,2,34,21,5,8,68,2006-2007,7,3
75,3,34,20,6,8,66,2006-2007,6,3
76,4,34,18,6,10,60,2006-2007,1,3
77,5,34,15,6,13,51,2006-2007,15,3
78,6,34,11,15,8,48,2006-2007,17,3
79,7,34,10,15,9,45,2006-2007,4,3
80,8,34,13,6,15,45,2006-2007,9,3
81,9,34,12,8,14,44,2006-2007,3,3
82,10,34,12,8,14,44,2006-2007,5,3
83,11,34,12,8,14,44,2006-2007,11,3
84,12,34,11,9,14,42,2006-2007,16,3
85,13,34,11,8,15,41,2006-2007,18,3
86,14,34,9,13,12,40,2006-2007,20,3
87,15,34,8,13,13,37,2006-2007,8,3
88,16,34,8,10,16,34,2006-2007,22,3
89,17,34,9,7,18,34,2006-2007,24,3
90,18,34,6,8,20,26,2006-2007,12,3
91,1,34,22,10,2,76,2007-2008,1,3
92,2,34,20,6,8,66,2007-2008,6,3
93,3,34,18,10,6,64,2007-2008,7,3
94,4,34,14,12,8,54,2007-2008,4,3
95,5,34,15,9,10,54,2007-2008,8,3
96,6,34,16,4,14,52,2007-2008,2,3
97,7,34,15,6,13,51,2007-2008,15,3
98,8,34,13,10,11,49,2007-2008,11,3
99,9,34,12,10,12,46,2007-2008,20,3
100,10,34,12,8,14,44,2007-2008,5,3
101,11,34,11,10,13,43,2007-2008,25,3
102,12,34,10,11,13,41,2007-2008,9,3
103,13,34,10,10,14,40,2007-2008,3,3
104,14,34,9,9,16,36,2007-2008,18,3
105,15,34,8,10,16,34,2007-2008,16,3
106,16,34,7,10,17,31,2007-2008,17,3
107,17,34,8,6,20,30,2007-2008,13,3
108,18,34,8,5,21,29,2007-2008,23,3
109,1,34,21,6,7,69,2008-2009,8,3
110,2,34,20,7,7,67,2008-2009,1,3
111,3,34,19,7,8,64,2008-2009,2,3
112,4,34,19,6,9,63,2008-2009,5,3
113,5,34,19,4,11,61,2008-2009,4,3
114,6,34,15,14,5,59,2008-2009,3,3
115,7,34,15,10,9,55,2008-2009,26,3
116,8,34,14,8,12,50,2008-2009,7,3
117,9,34,14,7,13,49,2008-2009,15,3
118,10,34,12,9,13,45,2008-2009,6,3
119,11,34,10,10,14,40,2008-2009,11,3
120,12,34,11,6,17,39,2008-2009,21,3
121,13,34,8,9,17,33,2008-2009,20,3
122,14,34,7,11,16,32,2008-2009,9,3
123,15,34,8,7,19,31,2008-2009,12,3
124,16,34,8,6,20,30,2008-2009,18,3
125,17,34,8,5,21,29,2008-2009,25,3
126,18,34,4,16,14,28,2008-2009,16,3
127,1,34,20,10,4,70,2009-2010,1,3
128,2,34,19,8,7,65,2009-2010,7,3
129,3,34,17,10,7,61,2009-2010,6,3
130,4,34,15,14,5,59,2009-2010,15,3
131,5,34,16,9,9,57,2009-2010,3,3
132,6,34,15,10,9,55,2009-2010,2,3
133,7,34,13,13,8,52,2009-2010,4,3
134,8,34,14,8,12,50,2009-2010,8,3
135,9,34,12,11,11,47,2009-2010,22,3
136,10,34,12,10,12,46,2009-2010,20,3
137,11,34,11,9,14,42,2009-2010,26,3
138,12,34,10,9,15,39,2009-2010,12,3
139,13,34,9,11,14,38,2009-2010,21,3
140,14,34,9,8,17,35,2009-2010,19,3
141,15,34,9,6,19,33,2009-2010,11,3
142,16,34,8,7,19,31,2009-2010,17,3
143,17,34,6,10,18,28,2009-2010,9,3
144,18,34,5,9,20,24,2009-2010,5,3
145,1,34,23,6,5,75,2010-2011,3,3
146,2,34,20,8,6,68,2010-2011,15,3
147,3,34,19,8,7,65,2010-2011,1,3
148,4,34,19,3,12,60,2010-2011,11,3
149,5,34,18,4,12,58,2010-2011,22,3
150,6,34,13,8,13,47,2010-2011,17,3
151,7,34,13,7,14,46,2010-2011,14,3
152,8,34,12,9,13,45,2010-2011,4,3
153,9,34,13,5,16,44,2010-2011,19,3
154,10,34,13,5,16,44,2010-2011,21,3
155,11,34,11,10,13,43,2010-2011,26,3
156,12,34,12,6,16,42,2010-2011,2,3
157,13,34,10,11,13,41,2010-2011,6,3
158,14,34,11,7,16,40,2010-2011,7,3
159,15,34,9,11,14,38,2010-2011,8,3
160,16,34,10,6,18,36,2010-2011,12,3
161,17,34,9,7,18,34,2010-2011,20,3
162,18,34,8,5,21,29,2010-2011,27,3
163,1,34,25,6,3,81,2011-2012,3,3
164,2,34,23,4,7,73,2011-2012,1,3
165,3,34,20,4,10,64,2011-2012,7,3
166,4,34,17,9,8,60,2011-2012,12,3
167,5,34,15,9,10,54,2011-2012,15,3
168,6,34,15,8,11,53,2011-2012,2,3
169,7,34,12,12,10,48,2011-2012,11,3
170,8,34,13,5,16,44,2011-2012,8,3
171,9,34,11,9,14,42,2011-2012,6,3
172,10,34,12,6,16,42,2011-2012,17,3
173,11,34,10,11,13,41,2011-2012,26,3
174,12,34,10,10,14,40,2011-2012,19,3
175,13,34,9,12,13,39,2011-2012,22,3
176,14,34,8,14,12,38,2011-2012,28,3
177,15,34,8,12,14,36,2011-2012,4,3
178,16,34,7,10,17,31,2011-2012,5,3
179,17,34,8,6,20,30,2011-2012,21,3
180,18,34,4,11,19,23,2011-2012,14,3
181,1,34,29,4,1,91,2012-2013,1,3
182,2,34,19,9,6,66,2012-2013,3,3
183,3,34,19,8,7,65,2012-2013,15,3
184,4,34,16,7,11,55,2012-2013,7,3
185,5,34,14,9,11,51,2012-2013,19,3
186,6,34,14,9,11,51,2012-2013,20,3
187,7,34,14,6,14,48,2012-2013,4,3
188,8,34,12,11,11,47,2012-2013,12,3
189,9,34,13,6,15,45,2012-2013,11,3
190,10,34,11,11,12,44,2012-2013,17,3
191,11,34,10,13,11,43,2012-2013,8,3
192,12,34,12,7,15,43,2012-2013,2,3
193,13,34,10,12,12,42,2012-2013,22,3
194,14,34,8,10,16,34,2012-2013,6,3
195,15,34,8,9,17,33,2012-2013,28,3
196,16,34,8,7,19,31,2012-2013,26,3
197,17,34,7,9,18,30,2012-2013,29,3
198,18,34,4,9,21,21,2012-2013,30,3
199,1,34,29,3,2,90,2013-2014,1,3
200,2,34,22,5,7,71,2013-2014,3,3
201,3,34,19,7,8,64,2013-2014,7,3
202,4,34,19,4,11,61,2013-2014,15,3
203,5,34,18,6,10,60,2013-2014,8,3
204,6,34,16,7,11,55,2013-2014,12,3
205,7,34,16,5,13,53,2013-2014,22,3
206,8,34,15,7,12,52,2013-2014,28,3
207,9,34,11,11,12,44,2013-2014,26,3
208,10,34,12,6,16,42,2013-2014,11,3
209,11,34,11,8,15,41,2013-2014,5,3
210,12,34,10,9,15,39,2013-2014,6,3
211,13,34,9,9,16,36,2013-2014,20,3
212,14,34,9,9,16,36,2013-2014,19,3
213,15,34,8,8,18,32,2013-2014,2,3
214,16,34,7,6,21,27,2013-2014,4,3
215,17,34,5,11,18,26,2013-2014,17,3
216,18,34,6,7,21,25,2013-2014,31,3
217,1,34,25,4,5,79,2014-2015,1,3
218,2,34,20,9,5,69,2014-2015,8,3
219,3,34,19,9,6,66,2014-2015,12,3
220,4,34,17,10,7,61,2014-2015,15,3
221,5,34,15,4,15,49,2014-2015,28,3
222,6,34,13,9,12,48,2014-2015,7,3
223,7,34,13,7,14,46,2014-2015,3,3
224,8,34,12,8,14,44,2014-2015,26,3
225,9,34,11,10,13,43,2014-2015,20,3
226,10,34,11,10,13,43,2014-2015,6,3
227,11,34,9,13,12,40,2014-2015,22,3
228,12,34,9,13,12,40,2014-2015,21,3
229,13,34,9,10,15,37,2014-2015,11,3
230,14,34,9,9,16,36,2014-2015,2,3
231,15,34,9,8,17,35,2014-2015,5,3
232,16,34,9,8,17,35,2014-2015,4,3
233,17,34,7,13,14,34,2014-2015,19,3
234,18,34,7,10,17,31,2014-2015,32,3
235,1,34,28,4,2,88,2015-2016,1,3
236,2,34,24,6,4,78,2015-2016,3,3
237,3,34,18,6,10,60,2015-2016,15,3
238,4,34,17,4,13,55,2015-2016,12,3
239,5,34,15,7,12,52,2015-2016,7,3
240,6,34,14,8,12,50,2015-2016,22,3
241,7,34,14,8,12,50,2015-2016,5,3
242,8,34,12,9,13,45,2015-2016,8,3
243,9,34,10,13,11,43,2015-2016,21,3
244,10,34,11,8,15,41,2015-2016,4,3
245,11,34,10,10,14,40,2015-2016,33,3
246,12,34,9,11,14,38,2015-2016,28,3
247,13,34,10,8,16,38,2015-2016,6,3
248,14,34,9,11,14,38,2015-2016,34,3
249,15,34,9,10,15,37,2015-2016,26,3
250,16,34,9,9,16,36,2015-2016,20,3
251,17,34,9,6,19,33,2015-2016,2,3
252,18,34,7,4,23,25,2015-2016,11,3
253,1,34,25,7,2,82,2016-2017,1,3
254,2,34,20,7,7,67,2016-2017,35,3
255,3,34,18,10,6,64,2016-2017,3,3
256,4,34,16,14,4,62,2016-2017,26,3
257,5,34,12,13,9,49,2016-2017,21,3
258,6,34,15,4,15,49,2016-2017,5,3
259,7,34,14,6,14,48,2016-2017,19,3
260,8,34,13,6,15,45,2016-2017,6,3
261,9,34,12,9,13,45,2016-2017,12,3
262,10,34,11,10,13,43,2016-2017,7,3
263,11,34,11,9,14,42,2016-2017,20,3
264,12,34,11,8,15,41,2016-2017,15,3
265,13,34,9,11,14,38,2016-2017,28,3
266,14,34,10,8,16,38,2016-2017,4,3
267,15,34,10,7,17,37,2016-2017,22,3
268,16,34,10,7,17,37,2016-2017,8,3
269,17,34,8,8,18,32,2016-2017,33,3
270,18,34,7,4,23,25,2016-2017,34,3
271,1,34,27,3,4,84,2017-2018,1,3
272,2,34,18,9,7,63,2017-2018,7,3
273,3,34,15,10,9,55,2017-2018,26,3
274,4,34,15,10,9,55,2017-2018,3,3
275,5,34,15,10,9,55,2017-2018,15,3
276,6,34,15,8,11,53,2017-2018,35,3
277,7,34,15,6,13,51,2017-2018,2,3
278,8,34,14,7,13,49,2017-2018,20,3
279,9,34,13,8,13,47,2017-2018,12,3
280,10,34,10,13,11,43,2017-2018,5,3
281,11,34,10,12,12,42,2017-2018,6,3
282,12,34,10,11,13,41,2017-2018,28,3
283,13,34,10,9,15,39,2017-2018,11,3
284,14,34,9,9,16,36,2017-2018,22,3
285,15,34,8,12,14,36,2017-2018,19,3
286,16,34,6,15,13,33,2017-2018,8,3
287,17,34,8,7,19,31,2017-2018,4,3
288,18,34,5,7,22,22,2017-2018,21,3
289,1,34,24,6,4,78,2018-2019,1,3
290,2,34,23,7,4,76,2018-2019,3,3
291,3,34,19,9,6,66,2018-2019,35,3
292,4,34,18,4,12,58,2018-2019,15,3
293,5,34,16,7,11,55,2018-2019,12,3
294,6,34,16,7,11,55,2018-2019,8,3
295,7,34,15,9,10,54,2018-2019,20,3
296,8,34,14,11,9,53,2018-2019,6,3
297,9,34,13,12,9,51,2018-2019,26,3
298,10,34,13,5,16,44,2018-2019,29,3
299,11,34,11,10,13,43,2018-2019,5,3
300,12,34,12,7,15,43,2018-2019,22,3
301,13,34,8,12,14,36,2018-2019,19,3
302,14,34,8,9,17,33,2018-2019,7,3
303,15,34,8,8,18,32,2018-2019,28,3
304,16,34,7,7,20,28,2018-2019,2,3
305,17,34,5,6,23,21,2018-2019,11,3
306,18,34,3,10,21,19,2018-2019,17,3
307,1,34,26,4,4,82,2019-2020,1,3
308,2,34,21,6,7,69,2019-2020,3,3
309,3,34,18,12,4,66,2019-2020,35,3
310,4,34,20,5,9,65,2019-2020,12,3
311,5,34,19,6,9,63,2019-2020,15,3
312,6,34,15,7,12,52,2019-2020,26,3
313,7,34,13,10,11,49,2019-2020,8,3
314,8,34,13,9,12,48,2019-2020,19,3
315,9,34,13,6,15,45,2019-2020,20,3
316,10,34,11,8,15,41,2019-2020,5,3
317,11,34,12,5,17,41,2019-2020,36,3
318,12,34,9,12,13,39,2019-2020,7,3
319,13,34,11,4,19,37,2019-2020,22,3
320,14,34,10,6,18,36,2019-2020,21,3
321,15,34,9,9,16,36,2019-2020,28,3
322,16,34,8,7,19,31,2019-2020,6,3
323,17,34,6,12,16,30,2019-2020,29,3
324,18,34,4,8,22,20,2019-2020,32,3
325,1,34,24,6,4,78,2020-2021,1,3
326,2,34,19,8,7,65,2020-2021,35,3
327,3,34,20,4,10,64,2020-2021,3,3
328,4,34,17,10,7,61,2020-2021,8,3
329,5,34,16,12,6,60,2020-2021,20,3
330,6,34,14,10,10,52,2020-2021,15,3
331,7,34,12,14,8,50,2020-2021,36,3
332,8,34,13,10,11,49,2020-2021,12,3
333,9,34,12,9,13,45,2020-2021,2,3
334,10,34,12,9,13,45,2020-2021,19,3
335,11,34,11,10,13,43,2020-2021,26,3
336,12,34,10,9,15,39,2020-2021,22,3
337,13,34,10,6,18,36,2020-2021,28,3
338,14,34,8,11,15,35,2020-2021,5,3
339,15,34,9,8,17,35,2020-2021,16,3
340,16,34,8,9,17,33,2020-2021,21,3
341,17,34,7,10,17,31,2020-2021,6,3
342,18,34,3,7,24,16,2020-2021,7,3
343,1,34,24,5,5,77,2021-2022,1,3
344,2,34,22,3,9,69,2021-2022,3,3
345,3,34,19,7,8,64,2021-2022,15,3
346,4,34,17,7,10,58,2021-2022,35,3
347,5,34,16,9,9,57,2021-2022,36,3
348,6,34,15,10,9,55,2021-2022,19,3
349,7,34,14,10,10,52,2021-2022,21,3
350,8,34,13,7,14,46,2021-2022,22,3
351,9,34,13,7,14,46,2021-2022,26,3
352,10,34,12,9,13,45,2021-2022,12,3
353,11,34,10,12,12,42,2021-2022,20,3
354,12,34,12,6,16,42,2021-2022,8,3
355,13,34,12,6,16,42,2021-2022,9,3
356,14,34,10,8,16,38,2021-2022,28,3
357,15,34,7,12,15,33,2021-2022,2,3
358,16,34,9,6,19,33,2021-2022,5,3
359,17,34,5,13,16,28,2021-2022,16,3
360,18,34,3,9,22,18,2021-2022,30,3
