2002-2003,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
11,Fiorentina,38,13,8,17,47,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
12,Lazio,38,11,13,14,46,squads/7213da33/Lazio-Stats,7213da33,Lazio
13,Catania,38,10,15,13,45,squads/7b046f08/Catania-Stats,7b046f08,Catania
14,Chievo,38,12,8,18,44,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
15,Udinese,38,11,11,16,44,squads/04eea015/Udinese-Stats,04eea015,Udinese
16,Cagliari,38,11,11,16,44,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
17,Bologna,38,10,12,16,42,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
18,Atalanta,38,9,8,21,35,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
19,Siena,38,7,10,21,31,squads/45a2f824/Siena-Stats,45a2f824,Siena
20,Livorno,38,7,8,23,29,squads/939201df/Livorno-Stats,939201df,Livorno
﻿2010-2011,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Milan,38,24,10,4,82,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
2,Inter,38,23,7,8,76,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
3,Napoli,38,21,7,10,70,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
4,Udinese,38,20,6,12,66,squads/04eea015/Udinese-Stats,04eea015,Udinese
5,Lazio,38,20,6,12,66,squads/7213da33/Lazio-Stats,7213da33,Lazio
6,Roma,38,18,9,11,63,squads/cf74a709/Roma-Stats,cf74a709,Roma
7,Juventus,38,15,13,10,58,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
8,Palermo,38,17,5,16,56,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
9,Fiorentina,38,12,15,11,51,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
10,Genoa,38,14,9,15,51,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
11,Chievo,38,11,13,14,46,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
12,Parma,38,11,13,14,46,squads/eab4234c/Parma-Stats,eab4234c,Parma
13,Catania,38,12,10,16,46,squads/7b046f08/Catania-Stats,7b046f08,Catania
14,Cagliari,38,12,9,17,45,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
15,Cesena,38,11,10,17,43,squads/283f2557/Cesena-Stats,283f2557,Cesena
16,Bologna,38,11,12,15,42,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
17,Lecce,38,11,8,19,41,squads/ffcbe334/Lecce-Stats,ffcbe334,Lecce
18,Sampdoria,38,8,12,18,36,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
19,Brescia,38,7,11,20,32,squads/4ef57aeb/Brescia-Stats,4ef57aeb,Brescia
20,Bari,38,5,9,24,24,squads/01baa639/Bari-Stats,01baa639,Bari
﻿2011-2012,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,23,15,0,84,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Milan,38,24,8,6,80,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
3,Udinese,38,18,10,10,64,squads/04eea015/Udinese-Stats,04eea015,Udinese
4,Lazio,38,18,8,12,62,squads/7213da33/Lazio-Stats,7213da33,Lazio
5,Napoli,38,16,13,9,61,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
6,Inter,38,17,7,14,58,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
7,Roma,38,16,8,14,56,squads/cf74a709/Roma-Stats,cf74a709,Roma
8,Parma,38,15,11,12,56,squads/eab4234c/Parma-Stats,eab4234c,Parma
9,Bologna,38,13,12,13,51,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
10,Chievo,38,12,13,13,49,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
11,Catania,38,11,15,12,48,squads/7b046f08/Catania-Stats,7b046f08,Catania
12,Atalanta,38,13,13,12,46,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
13,Fiorentina,38,11,13,14,46,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
14,Siena,38,11,11,16,44,squads/45a2f824/Siena-Stats,45a2f824,Siena
15,Cagliari,38,10,13,15,43,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
16,Palermo,38,11,10,17,43,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
17,Genoa,38,11,9,18,42,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
18,Lecce,38,8,12,18,36,squads/ffcbe334/Lecce-Stats,ffcbe334,Lecce
19,Novara,38,7,11,20,32,squads/6c37111f/Novara-Stats,6c37111f,Novara
20,Cesena,38,4,10,24,22,squads/283f2557/Cesena-Stats,283f2557,Cesena
﻿2012-2013,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,27,6,5,87,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Napoli,38,23,9,6,78,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
3,Milan,38,21,9,8,72,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
4,Fiorentina,38,21,7,10,70,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
5,Udinese,38,18,12,8,66,squads/04eea015/Udinese-Stats,04eea015,Udinese
6,Roma,38,18,8,12,62,squads/cf74a709/Roma-Stats,cf74a709,Roma
7,Lazio,38,18,7,13,61,squads/7213da33/Lazio-Stats,7213da33,Lazio
8,Catania,38,15,11,12,56,squads/7b046f08/Catania-Stats,7b046f08,Catania
