Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
1814,18,38,8,10,20,34,2014-2015,185,5
1815,19,38,4,12,22,24,2014-2015,193,5
1816,20,38,6,8,24,19,2014-2015,164,5
1817,1,38,29,4,5,91,2015-2016,160,5
1818,2,38,25,7,6,82,2015-2016,190,5
1819,3,38,23,11,4,80,2015-2016,167,5
1820,4,38,20,7,11,67,2015-2016,161,5
1821,5,38,18,10,10,64,2015-2016,186,5
1822,6,38,16,13,9,61,2015-2016,197,5
1823,7,38,15,12,11,57,2015-2016,162,5
1824,8,38,15,9,14,54,2015-2016,163,5
1825,9,38,13,11,14,50,2015-2016,166,5
1826,10,38,12,10,16,46,2015-2016,172,5
1827,11,38,13,7,18,46,2015-2016,191,5
1828,12,38,12,9,17,45,2015-2016,177,5
1829,13,38,11,12,15,45,2015-2016,174,5
1830,14,38,11,9,18,42,2015-2016,170,5
1831,15,38,10,10,18,40,2015-2016,178,5
1832,16,38,10,9,19,39,2015-2016,182,5
1833,17,38,10,9,19,39,2015-2016,165,5
1834,18,38,9,11,18,38,2015-2016,198,5
1835,19,38,8,7,23,31,2015-2016,199,5
1836,20,38,5,13,20,28,2015-2016,196,5
1837,1,38,29,4,5,91,2016-2017,160,5
1838,2,38,28,3,7,87,2016-2017,167,5
1839,3,38,26,8,4,86,2016-2017,190,5
1840,4,38,21,9,8,72,2016-2017,174,5
1841,5,38,21,7,10,70,2016-2017,163,5
1842,6,38,18,9,11,63,2016-2017,162,5
1843,7,38,19,5,14,62,2016-2017,161,5
1844,8,38,16,12,10,60,2016-2017,186,5
1845,9,38,13,14,11,53,2016-2017,177,5
1846,10,38,12,12,14,48,2016-2017,178,5
1847,11,38,14,5,19,47,2016-2017,185,5
1848,12,38,13,7,18,46,2016-2017,197,5
1849,13,38,12,9,17,45,2016-2017,165,5
1850,14,38,12,7,19,43,2016-2017,166,5
1851,15,38,11,8,19,41,2016-2017,170,5
1852,16,38,9,9,20,36,2016-2017,191,5
1853,17,38,9,7,22,34,2016-2017,200,5
1854,18,38,8,8,22,32,2016-2017,172,5
1855,19,38,6,8,24,26,2016-2017,182,5
1856,20,38,3,9,26,18,2016-2017,195,5
1857,1,38,30,5,3,95,2017-2018,160,5
1858,2,38,28,7,3,91,2017-2018,190,5
1859,3,38,23,8,7,77,2017-2018,167,5
1860,4,38,20,12,6,72,2017-2018,161,5
1861,5,38,21,9,8,72,2017-2018,163,5
1862,6,38,18,10,10,64,2017-2018,162,5
1863,7,38,16,12,10,60,2017-2018,174,5
1864,8,38,16,9,13,57,2017-2018,186,5
1865,9,38,13,15,10,54,2017-2018,177,5
1866,10,38,16,6,16,54,2017-2018,178,5
1867,11,38,11,10,17,43,2017-2018,197,5
1868,12,38,11,8,19,41,2017-2018,191,5
1869,13,38,10,10,18,40,2017-2018,166,5
1870,14,38,12,4,22,40,2017-2018,165,5
1871,15,38,11,6,21,39,2017-2018,170,5
1872,16,38,11,6,21,39,2017-2018,185,5
1873,17,38,8,14,16,38,2017-2018,201,5
1874,18,38,9,8,21,35,2017-2018,200,5
1875,19,38,7,4,27,25,2017-2018,196,5
1876,20,38,6,3,29,21,2017-2018,202,5
1877,1,38,28,6,4,90,2018-2019,160,5
1878,2,38,24,7,7,79,2018-2019,190,5
1879,3,38,20,9,9,69,2018-2019,174,5
1880,4,38,20,9,9,69,2018-2019,161,5
