Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
165,Fraser Forster,/en/players/c3e39f12/Fraser-Forster,c3e39f12,Fraser-Forst,eng ENG,GK,Southampton
166,Toby Alderweireld,/en/players/f7d50789/Toby-Alderweireld,f7d50789,Toby-Alderweireld,be BEL,DF,Southampton
167,Sadio Mané,/en/players/c691bfe2/Sadio-Mane,c691bfe2,Sadio-M,sn SEN,"FW,MF",Southampton
168,Dušan Tadić,/en/players/2475dcc6/Dusan-Tadic,2475dcc6,Dusan-Tadic,rs SRB,"FW,MF",Southampton
169,Shane Long,/en/players/9f472354/Shane-Long,9f472354,Shane-Long,ie IRL,FW,Southampton
170,Eljero Elia,/en/players/05cb19c5/Eljero-Elia,05cb19c5,Eljero-Eli,nl NED,"FW,MF",Southampton
171,Florin Gardoș,/en/players/70eb7e9d/Florin-Gardos,70eb7e9d,Florin-Gardo,ro ROU,"DF,MF",Southampton
172,Filip Đuričić,/en/players/eccbe56a/Filip-Djuricic,ccbe56a,Filip-Djuricic,rs SRB,"FW,MF",Southampton
173,Matt Targett,/en/players/e514ab62/Matt-Targett,514ab62,Matt-Targett,eng ENG,"DF,MF",Southampton
174,Jake Hesketh,/en/players/4c83c9f8/Jake-Hesketh,4c83c9f8,Jake-Hesketh,eng ENG,"FW,MF",Southampton
175,Lloyd Isgrove,/en/players/430696d5/Lloyd-Isgrove,430696d5,Lloyd-Isgrov,wls WAL,MF,Southampton
176,Jason McCarthy,/en/players/63741fb9/Jason-McCarthy,63741fb9,Jason-McCarth,eng ENG,"DF,MF",Southampton
177,Dominic Gape,/en/players/f744b4df/Dominic-Gape,f744b4df,Dominic-G,eng ENG,MF,Southampton
178,Ryan Seager,/en/players/49ef3149/Ryan-Seager,49ef3149,Ryan-Seag,eng ENG,FW,Southampton
179,Jake Flannigan,/en/players/39b656de/Jake-Flannigan,39b656de,Jake-Flannig,eng ENG,MF,Southampton
180,Sam McQueen,/en/players/b27b49b4/Sam-McQueen,b27b49b4,Sam-McQu,eng ENG,MF,Southampton
181,Jack Stephens,/en/players/6adbc307/Jack-Stephens,6adbc307,Jack-Steph,eng ENG,DF,Southampton
182,Saphir Taïder,/en/players/a12d0c05/Saphir-Taider,12d0c05,Saphir-Taid,dz ALG,MF,Southampton
183,Virgil van Dijk,/en/players/e06683ca/Virgil-van-Dijk,06683ca,Virgil-van-Dijk,nl NED,DF,Southampton
184,Ryan Bertrand,/en/players/01226327/Ryan-Bertrand,01226327,Ryan-Bertrand,eng ENG,"DF,MF",Southampton
185,Cédric Soares,/en/players/839c14e1/Cedric-Soares,839c14e1,Cedric-So,pt POR,"DF,MF",Southampton
186,Jordy Clasie,/en/players/31c01b85/Jordy-Clasie,31c01b85,Jordy-Clasi,nl NED,MF,Southampton
187,Oriol Romeu,/en/players/4b511457/Oriol-Romeu,4b511457,Oriol-Romeu,es ESP,MF,Southampton
188,Maarten Stekelenburg,/en/players/fefce889/Maarten-Stekelenburg,fefce889,Maarten-Stekelenburg,nl NED,GK,Southampton
189,Cuco Martina,/en/players/22551915/Cuco-Martina,22551915,Cuco-Marti,cw CUW,DF,Southampton
190,Charlie Austin,/en/players/8d228291/Charlie-Austin,8d228291,Charlie-Austi,eng ENG,FW,Southampton
191,Steven Caulker,/en/players/2592d9b5/Steven-Caulker,2592d9b5,Steven-Caulk,sl SLE,DF,Southampton
192,Juanmi,/en/players/84399660/Juanmi,84399660,Juanmi,es ESP,"FW,MF",Southampton
193,Olufela Olomola,/en/players/313ba4ae/Olufela-Olomola,313ba4ae,Olufela-Olomo,eng ENG,FW,Southampton
194,Nathan Redmond,/en/players/ab651565/Nathan-Redmond,b651565,Nathan-Redmond,eng ENG,"FW,MF",Southampton
195,Pierre Højbjerg,/en/players/8b04d6c1/Pierre-Hojbjerg,8b04d6c1,Pierre-Hojbjerg,dk DEN,MF,Southampton
196,Sofiane Boufal,/en/players/b0c71810/Sofiane-Boufal,b0c71810,Sofiane-Bouf,ma MAR,"FW,MF",Southampton
197,Manolo Gabbiadini,/en/players/8f866fe8/Manolo-Gabbiadini,8f866fe8,Manolo-Gabbiadini,it ITA,FW,Southampton
198,Josh Sims,/en/players/6d6f09dc/Josh-Sims,6d6f09dc,Josh-Sim,eng ENG,FW,Southampton
199,Jérémy Pied,/en/players/a634b9d2/Jeremy-Pied,634b9d2,Jeremy-Pied,fr FRA,DF,Southampton
200,Martín Cáceres,/en/players/e94d79e3/Martin-Caceres,94d79e3,Martin-Cac,uy URU,DF,Southampton
201,Mouez Hassen,/en/players/fd481f3f/Mouez-Hassen,fd481f3f,Mouez-H,tn TUN,GK,Southampton
