Club;Link;Club_id;Club_name
Lorient;squads/d2c87802/Lorient-Stats;d2c87802;Lorient
Valenciennes;squads/259d3345/Valenciennes-Stats;259d3345;Valenciennes
Grenoble;squads/40aa7280/Grenoble-Foot-Stats;40aa7280;Grenoble-Foot
Boulogne;squads/98973a5c/Boulogne-Stats;98973a5c;Boulogne
Brest;squads/fb08dbb3/Brest-Stats;fb08dbb3;Brest
Arles-Avignon;squads/e95faa7f/Arles-Avignon-Stats;e95faa7f;Arles-Avignon
Evian;squads/633fbb6e/Evian-Stats;633fbb6e;Evian
Dijon;squads/8dfb7350/Dijon-Stats;8dfb7350;Dijon
Reims;squads/7fdd64e0/Reims-Stats;7fdd64e0;Reims
Angers;squads/69236f98/Angers-Stats;69236f98;Angers
Gaz??lec Ajaccio;squads/73905dde/Gazelec-Ajaccio-Stats;73905dde;Gazelec-Ajaccio
Amiens;squads/25622401/Amiens-Stats;25622401;Amiens
N??mes;squads/1cbf5f9e/Nimes-Stats;1cbf5f9e;Nimes
Clermont Foot;squads/d9676424/Clermont-Foot-Stats;d9676424;Clermont-Foot
Manchester Utd;squads/19538871/Manchester-United-Stats;19538871;Manchester-United
Arsenal;squads/18bb7c10/Arsenal-Stats;18bb7c10;Arsenal
Newcastle Utd;squads/b2b47a98/Newcastle-United-Stats;b2b47a98;Newcastle-United
Chelsea;squads/cff3d9bb/Chelsea-Stats;cff3d9bb;Chelsea
Liverpool;squads/822bd0ba/Liverpool-Stats;822bd0ba;Liverpool
Blackburn;squads/e090f40b/Blackburn-Rovers-Stats;e090f40b;Blackburn-Rovers
Everton;squads/d3fd31cc/Everton-Stats;d3fd31cc;Everton
Southampton;squads/33c895d4/Southampton-Stats;33c895d4;Southampton
Manchester City;squads/b8fd03ef/Manchester-City-Stats;b8fd03ef;Manchester-City
Tottenham;squads/361ca564/Tottenham-Hotspur-Stats;361ca564;Tottenham-Hotspur
Middlesbrough;squads/7f59c601/Middlesbrough-Stats;7f59c601;Middlesbrough
Charlton Ath;squads/7a8db6d4/Charlton-Athletic-Stats;7a8db6d4;Charlton-Athletic
Birmingham City;squads/ec79b7c2/Birmingham-City-Stats;ec79b7c2;Birmingham-City
Fulham;squads/fd962109/Fulham-Stats;fd962109;Fulham
Leeds United;squads/5bfb9659/Leeds-United-Stats;5bfb9659;Leeds-United
Aston Villa;squads/8602292d/Aston-Villa-Stats;8602292d;Aston-Villa
Bolton;squads/445d3104/Bolton-Wanderers-Stats;445d3104;Bolton-Wanderers
West Ham;squads/7c21e445/West-Ham-United-Stats;7c21e445;West-Ham-United
West Brom;squads/60c6b05f/West-Bromwich-Albion-Stats;60c6b05f;West-Bromwich-Albion
Sunderland;squads/8ef52968/Sunderland-Stats;8ef52968;Sunderland
Portsmouth;squads/76ffc013/Portsmouth-Stats;76ffc013;Portsmouth
Leicester City;squads/a2d435b3/Leicester-City-Stats;a2d435b3;Leicester-City
Wolves;squads/8cec06e1/Wolverhampton-Wanderers-Stats;8cec06e1;Wolverhampton-Wanderers
Crystal Palace;squads/47c64c55/Crystal-Palace-Stats;47c64c55;Crystal-Palace
Norwich City;squads/1c781004/Norwich-City-Stats;1c781004;Norwich-City
Wigan Athletic;squads/e59ddc76/Wigan-Athletic-Stats;e59ddc76;Wigan-Athletic
Reading;squads/b0ac61ff/Reading-Stats;b0ac61ff;Reading
Sheffield Utd;squads/1df6b87e/Sheffield-United-Stats;1df6b87e;Sheffield-United
Watford;squads/2abfe087/Watford-Stats;2abfe087;Watford
Derby County;squads/26ab47ee/Derby-County-Stats;26ab47ee;Derby-County
Stoke City;squads/17892952/Stoke-City-Stats;17892952;Stoke-City
Hull City;squads/bd8769d1/Hull-City-Stats;bd8769d1;Hull-City
Burnley;squads/943e8050/Burnley-Stats;943e8050;Burnley
Blackpool;squads/7cbf5cb4/Blackpool-Stats;7cbf5cb4;Blackpool
Swansea City;squads/fb10988f/Swansea-City-Stats;fb10988f;Swansea-City
QPR;squads/a757999c/Queens-Park-Rangers-Stats;a757999c;Queens-Park-Rangers
Cardiff City;squads/75fae011/Cardiff-City-Stats;75fae011;Cardiff-City
Bournemouth;squads/4ba7cbea/Bournemouth-Stats;4ba7cbea;Bournemouth
Brighton;squads/d07537b9/Brighton-and-Hove-Albion-Stats;d07537b9;Brighton-and-Hove-Albion
Huddersfield;squads/f5922ca5/Huddersfield-Town-Stats;f5922ca5;Huddersfield-Town
Brentford;squads/cd051869/Brentford-Stats;cd051869;Brentford
Juventus;squads/e0652b02/Juventus-Stats;e0652b02;Juventus
Inter;squads/d609edc0/Internazionale-Stats;d609edc0;Internazionale
Milan;squads/dc56fe14/Milan-Stats;dc56fe14;Milan
Lazio;squads/7213da33/Lazio-Stats;7213da33;Lazio
Parma;squads/eab4234c/Parma-Stats;eab4234c;Parma
Udinese;squads/04eea015/Udinese-Stats;04eea015;Udinese
Chievo;squads/cc919b35/Chievo-Stats;cc919b35;Chievo
Roma;squads/cf74a709/Roma-Stats;cf74a709;Roma
Brescia;squads/4ef57aeb/Brescia-Stats;4ef57aeb;Brescia
Perugia;squads/37cba288/Perugia-Stats;37cba288;Perugia
Bologna;squads/1d8099f8/Bologna-Stats;1d8099f8;Bologna
Modena;squads/71a3700b/Modena-Stats;71a3700b;Modena
Empoli;squads/a3d88bd8/Empoli-Stats;a3d88bd8;Empoli
Reggina;squads/46f8c29f/Reggina-Stats;46f8c29f;Reggina
Atalanta;squads/922493f3/Atalanta-Stats;922493f3;Atalanta
Piacenza;squads/81e923a1/Piacenza-Stats;81e923a1;Piacenza
Como;squads/28c9c3cd/Como-Stats;28c9c3cd;Como
Torino;squads/105360fe/Torino-Stats;105360fe;Torino
Sampdoria;squads/8ff9e3b3/Sampdoria-Stats;8ff9e3b3;Sampdoria
Lecce;squads/ffcbe334/Lecce-Stats;ffcbe334;Lecce
Siena;squads/45a2f824/Siena-Stats;45a2f824;Siena
Ancona;squads/1d2f81d0/Ancona-Stats;1d2f81d0;Ancona
Palermo;squads/ee058a17/Palermo-Stats;ee058a17;Palermo
Messina;squads/fe2dc36d/Messina-Stats;fe2dc36d;Messina
Livorno;squads/939201df/Livorno-Stats;939201df;Livorno
Cagliari;squads/c4260e09/Cagliari-Stats;c4260e09;Cagliari
Fiorentina;squads/421387cf/Fiorentina-Stats;421387cf;Fiorentina
Ascoli;squads/72c031e3/Ascoli-Stats;72c031e3;Ascoli
Treviso;squads/f71ec3ae/Treviso-Stats;f71ec3ae;Treviso
Catania;squads/7b046f08/Catania-Stats;7b046f08;Catania
Napoli;squads/d48ad4ff/Napoli-Stats;d48ad4ff;Napoli
Genoa;squads/658bf2de/Genoa-Stats;658bf2de;Genoa
Bari;squads/01baa639/Bari-Stats;01baa639;Bari
Cesena;squads/283f2557/Cesena-Stats;283f2557;Cesena
Novara;squads/6c37111f/Novara-Stats;6c37111f;Novara
Pescara;squads/b985784c/Pescara-Stats;b985784c;Pescara
Hellas Verona;squads/0e72edf2/Hellas-Verona-Stats;0e72edf2;Hellas-Verona
Sassuolo;squads/e2befd26/Sassuolo-Stats;e2befd26;Sassuolo
Carpi;squads/71f07916/Carpi-Stats;71f07916;Carpi
Frosinone;squads/6a7ad59d/Frosinone-Stats;6a7ad59d;Frosinone
Crotone;squads/3074d7b1/Crotone-Stats;3074d7b1;Crotone
SPAL;squads/1d2fe027/SPAL-Stats;1d2fe027;SPAL
Benevento;squads/4fcb34fd/Benevento-Stats;4fcb34fd;Benevento
Spezia;squads/68449f6d/Spezia-Stats;68449f6d;Spezia
Salernitana;squads/c5577084/Salernitana-Stats;c5577084;Salernitana
Venezia;squads/af5d5982/Venezia-Stats;af5d5982;Venezia
