Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,Wes Brown,eng ENG,DF,17,15,1.0,0.0,2003-2004,659ccc97,Manchester-United,"1,411",15.7,1.0,0.0,119.0,6.0,5713.0,Manchester-United
,Nicky Butt,eng ENG,"DF,MF",21,12,0.0,1.0,2003-2004,616b3f9a,Manchester-United,"1,106",12.3,2.0,0.0,119.0,6.0,5719.0,Manchester-United
,Diego Forlán,uy URU,"FW,MF",24,10,4.0,4.0,2003-2004,d87d0dfc,Manchester-United,"1,069",11.9,2.0,0.0,119.0,8.0,,Manchester-United
,Eric Djemba-Djemba,cm CMR,MF,15,10,1.0,0.0,2003-2004,f7c35434,Manchester-United,882,9.8,1.0,0.0,119.0,36.0,5729.0,Manchester-United
,José Kléberson,br BRA,MF,12,10,3.0,2.0,2003-2004,b05f5f22,Manchester-United,791,8.8,1.0,0.0,119.0,2.0,5730.0,Manchester-United
,Louis Saha,fr FRA,FW,12,9,3.0,7.0,2003-2004,7106e4fe,Manchester-United,862,9.6,0.0,0.0,119.0,4.0,5731.0,Manchester-United
,Ole Gunnar Solskjær,no NOR,FW,13,7,2.0,0.0,2003-2004,65cb97b8,Manchester-United,652,7.2,2.0,0.0,119.0,21.0,5710.0,Manchester-United
,Roy Carroll,nir NIR,GK,6,6,0.0,0.0,2003-2004,0e880937,Manchester-United,540,6.0,0.0,0.0,119.0,121.0,5720.0,Manchester-United
,David Bellion,fr FRA,FW,14,4,1.0,2.0,2003-2004,901d685,Manchester-United,457,5.1,0.0,0.0,119.0,4.0,5732.0,Manchester-United
,﻿Mikaël Silvestre,fr FRA,DF,35,33,1.0,2.0,2004-2005,4dde97ea,Manchester-United,"2,948",32.8,2.0,1.0,119.0,4.0,5706.0,Manchester-United
,Rio Ferdinand,eng ENG,DF,31,31,2.0,0.0,2004-2005,52465662,Manchester-United,"2,790",31.0,3.0,0.0,119.0,6.0,5711.0,Manchester-United
,Paul Scholes,eng ENG,MF,33,29,3.0,9.0,2004-2005,24a3a72c,Manchester-United,"2,605",28.9,5.0,1.0,119.0,6.0,5708.0,Manchester-United
,Roy Keane,ie IRL,MF,31,28,2.0,1.0,2004-2005,8f218498,Manchester-United,"2,610",29.0,9.0,0.0,119.0,99.0,5716.0,Manchester-United
,Roy Carroll,nir NIR,GK,26,26,0.0,0.0,2004-2005,0e880937,Manchester-United,"2,340",26.0,0.0,0.0,119.0,121.0,5720.0,Manchester-United
,Ryan Giggs,wls WAL,"FW,MF",32,26,9.0,6.0,2004-2005,561de8d0,Manchester-United,"2,321",25.8,3.0,0.0,119.0,18.0,5707.0,Manchester-United
,Gabriel Heinze,ar ARG,DF,26,26,1.0,1.0,2004-2005,54629cf9,Manchester-United,"2,287",25.4,4.0,0.0,119.0,5.0,63.0,Manchester-United
,Cristiano Ronaldo,pt POR,"FW,MF",33,25,4.0,5.0,2004-2005,dea698d9,Manchester-United,"2,423",26.9,4.0,0.0,119.0,3.0,81.0,Manchester-United
,Wayne Rooney,eng ENG,"FW,MF",29,24,2.0,11.0,2004-2005,f07be45a,Manchester-United,"2,185",24.3,7.0,0.0,119.0,6.0,5738.0,Manchester-United
,Alan Smith,eng ENG,"FW,MF",31,22,4.0,6.0,2004-2005,fdac06ea,Manchester-United,"2,038",22.6,3.0,1.0,119.0,6.0,5733.0,Manchester-United
,Gary Neville,eng ENG,DF,22,22,3.0,0.0,2004-2005,1b013e33,Manchester-United,"1,890",21.0,2.0,1.0,119.0,6.0,5715.0,Manchester-United
,Wes Brown,eng ENG,DF,21,18,0.0,1.0,2004-2005,659ccc97,Manchester-United,"1,640",18.2,2.0,1.0,119.0,6.0,5713.0,Manchester-United
,Darren Fletcher,sct SCO,MF,18,18,2.0,3.0,2004-2005,184e4970,Manchester-United,"1,380",15.3,3.0,0.0,119.0,67.0,5728.0,Manchester-United
,Ruud van Nistelrooy,nl NED,FW,17,17,1.0,6.0,2004-2005,80a30989,Manchester-United,"1,370",15.2,1.0,0.0,119.0,11.0,51.0,Manchester-United
