Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,Jody Viviani,fr FRA,GK,5,4,0.0,0.0,2003-2004,7d74fc84,Montpellier,364,4.0,0.0,0.0,93.0,4.0,
,Mathieu Lafon,fr FRA,MF,4,4,0.0,0.0,2003-2004,6a6823b1,Montpellier,316,3.5,0.0,0.0,93.0,4.0,
,Laurent Pionnier,fr FRA,GK,3,3,0.0,0.0,2003-2004,05856228,Montpellier,270,3.0,0.0,0.0,93.0,4.0,
,Jean-Matthieu Descamps,fr FRA,FW,7,3,1.0,0.0,2003-2004,37afc22b,Montpellier,225,2.5,0.0,0.0,93.0,4.0,
,Fatih Atik,tr TUR,MF,6,1,1.0,0.0,2003-2004,2af5ac1b,Montpellier,173,1.9,1.0,0.0,93.0,15.0,
,Abdoulaye Cissé,bf BFA,FW,3,1,0.0,0.0,2003-2004,3b6d2558,Montpellier,92,1.0,0.0,0.0,93.0,62.0,
,Stéphane Darbion,fr FRA,MF,4,0,0.0,0.0,2003-2004,75d97aa6,Montpellier,33,0.4,0.0,0.0,93.0,4.0,
,Fabien Lefèvre,fr FRA,MF,1,0,0.0,0.0,2003-2004,76af926b,Montpellier,20,0.2,0.0,0.0,93.0,4.0,
,Ali Sami Yachir,fr FRA,"FW,MF",1,0,,0.0,2003-2004,67b9c78e,Montpellier,17,0.2,0.0,0.0,93.0,4.0,
,﻿Geoffrey Jourdren,fr FRA,GK,38,38,0.0,0.0,2009-2010,7b6bf,Montpellier,"3,420",38.0,2.0,0.0,93.0,4.0,
,Mapou Yanga-Mbiwa,fr FRA,DF,36,36,1.0,0.0,2009-2010,20573d10,Montpellier,"3,199",35.5,10.0,0.0,93.0,4.0,
,Romain Pitau,fr FRA,MF,36,36,0.0,0.0,2009-2010,8a45ccf1,Montpellier,"3,130",34.8,6.0,0.0,93.0,4.0,
,Emir Spahić,ba BIH,DF,34,34,1.0,2.0,2009-2010,009633c8,Montpellier,"3,002",33.4,8.0,2.0,93.0,49.0,
,Víctor Montaño,co COL,FW,36,33,3.0,11.0,2009-2010,bcd514bc,Montpellier,"3,030",33.7,11.0,0.0,93.0,19.0,
,Tino Costa,ar ARG,MF,31,31,6.0,7.0,2009-2010,8f747a86,Montpellier,"2,667",29.6,8.0,1.0,93.0,5.0,
,Joris Marveaux,mq MTQ,MF,31,31,3.0,4.0,2009-2010,df8795f4,Montpellier,"2,519",28.0,4.0,0.0,93.0,104.0,
,Souleymane Camara,sn SEN,FW,38,30,2.0,9.0,2009-2010,c58270f8,Montpellier,"2,724",30.3,3.0,0.0,93.0,34.0,
,Cyril Jeunechamp,fr FRA,"DF,MF",28,28,1.0,0.0,2009-2010,0738014e,Montpellier,"2,212",24.6,10.0,2.0,93.0,4.0,
,Karim Aït-Fana,ma MAR,"FW,MF",33,24,2.0,5.0,2009-2010,4f090b8,Montpellier,"2,093",23.3,5.0,0.0,93.0,26.0,
,Abdelhamid El Kaoutari,ma MAR,DF,25,20,0.0,0.0,2009-2010,494a3a41,Montpellier,"1,827",20.3,1.0,0.0,93.0,26.0,
,Younès Belhanda,ma MAR,"FW,MF",33,19,2.0,1.0,2009-2010,204ec12,Montpellier,"1,867",20.7,5.0,1.0,93.0,26.0,
,Nenad Džodić,rs SRB,"DF,MF",17,17,0.0,4.0,2009-2010,b35fe1d6,Montpellier,"1,496",16.6,5.0,0.0,93.0,28.0,
,Xavier Collin,fr FRA,DF,19,9,0.0,0.0,2009-2010,3d3610ee,Montpellier,998,11.1,3.0,0.0,93.0,4.0,
