Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
119,Ander Capa,/en/players/37f1cf47/Ander-Capa,37f1cf47,Ander-C,es ESP,DF,Athletic-Club
120,Peru Nolaskoain,/en/players/857cb4f3/Peru-Nolaskoain,857cb4f3,Peru-Nolaskoai,es ESP,DF,Athletic-Club
121,Cristian Ganea,/en/players/baf5665c/Cristian-Ganea,baf5665c,Cristian-G,ro ROU,DF,Athletic-Club
122,Kenan Kodro,/en/players/e82d2807/Kenan-Kodro,82d2807,Kenan-Kodro,ba BIH,"FW,MF",Athletic-Club
123,Gorka Guruzeta,/en/players/6b5ea2f4/Gorka-Guruzeta,6b5ea2f4,Gorka-Guruzet,es ESP,"MF,FW",Athletic-Club
124,Oihan Sancet,/en/players/bdb624a3/Oihan-Sancet,bdb624a3,Oihan-Sancet,es ESP,MF,Athletic-Club
125,Larra,/en/players/0d690336/Larra,0d690336,L,es ESP,MF,Athletic-Club
126,Unai Vencedor Paris,/en/players/4112ace5/Unai-Vencedor-Paris,4112ace5,Unai-Vencedor-Pari,es ESP,MF,Athletic-Club
127,Jokin Ezkieta,/en/players/0f7dbaf6/Jokin-Ezkieta,0f7dbaf6,Jokin-Ezkiet,es ESP,GK,Athletic-Club
128,Sillero,/en/players/e46e2990/Sillero,46e2990,Sillero,es ESP,DF,Athletic-Club
129,Álex Berenguer,/en/players/dc1c2fce/Alex-Berenguer,dc1c2fce,Alex-Berengu,es ESP,MF,Athletic-Club
130,Jon Morcillo,/en/players/b7d7f3bf/Jon-Morcillo,b7d7f3bf,Jon-Morcillo,es ESP,MF,Athletic-Club
131,Oier Zarraga,/en/players/968a1c2f/Oier-Zarraga,968a1c2f,Oier-Zarrag,es ESP,MF,Athletic-Club
132,Nico Williams,/en/players/afdc14d7/Nico-Williams,fdc14d7,Nico-William,es ESP,MF,Athletic-Club
133,Iñigo Vicente,/en/players/afafac57/Inigo-Vicente,fafac57,Inigo-Vicent,es ESP,"FW,MF",Athletic-Club
134,Bernaola,/en/players/1dfc426b/Bernaola,1dfc426b,Bernao,es ESP,MF,Athletic-Club
135,Aitor Paredes,/en/players/b906757a/Aitor-Paredes,b906757a,Aitor-Pared,es ESP,DF,Athletic-Club
136,Prados,/en/players/1f60244a/Prados,1f60244a,Prado,es ESP,MF,Athletic-Club
137,Julen Agirrezabala,/en/players/a2c1a8d3/Julen-Agirrezabala,2c1a8d3,Julen-Agirrezab,es ESP,GK,Athletic-Club
138,Nicolás Serrano,/en/players/2ad0e5e5/Nicolas-Serrano,2ad0e5e5,Nicolas-Serrano,es ESP,"MF,FW",Athletic-Club
139,Alex Petxa,/en/players/97d08e60/Alex-Petxa,97d08e60,Alex-Petx,es ESP,"DF,MF",Athletic-Club
140,Juan Artola,/en/players/2e3f3462/Juan-Artola,2e3f3462,Juan-Arto,es ESP,FW,Athletic-Club
141,Luis Bilbao,/en/players/acde0e37/Luis-Bilbao,cde0e37,Luis-Bilbao,es ESP,FW,Athletic-Club
142,Iru,/en/players/a30a31ee/Iru,30a31ee,Iru,es ESP,GK,Athletic-Club
