Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,Dietmar Hamann,de GER,MF,30,23,6.0,0.0,2004-2005,/en/players/01c05efb/Dietmar-Hamann,01c05efb,Liverpool,"2,026",22.5,6.0,0.0,123,13.0,6266.0,Liverpool
,Milan Baroš,cz CZE,FW,26,22,1.0,9.0,2004-2005,/en/players/f3a9a99b/Milan-Baros,f3a9a99b,Liverpool,"1,866",20.7,4.0,1.0,123,84.0,6270.0,Liverpool
,Xabi Alonso,es ESP,MF,24,20,4.0,2.0,2004-2005,/en/players/dc001a06/Xabi-Alonso,dc001a06,Liverpool,"1,809",20.1,1.0,0.0,123,1.0,79.0,Liverpool
,Djimi Traoré,ml MLI,DF,26,18,1.0,0.0,2004-2005,/en/players/b8c992d8/Djimi-Traore,b8c992d8,Liverpool,"1,770",19.7,1.0,0.0,123,12.0,6265.0,Liverpool
,Harry Kewell,au AUS,"FW,MF",18,15,2.0,1.0,2004-2005,/en/players/51ef13b9/Harry-Kewell,51ef13b9,Liverpool,"1,399",15.5,0.0,0.0,123,42.0,6280.0,Liverpool
,Josemi,es ESP,DF,15,13,1.0,0.0,2004-2005,/en/players/e85dd0fc/Josemi,85dd0fc,Liverpool,"1,124",12.5,6.0,1.0,123,1.0,1608.0,Liverpool
,Fernando Morientes,es ESP,FW,13,12,1.0,3.0,2004-2005,/en/players/bceebb25/Fernando-Morientes,bceebb25,Liverpool,"1,015",11.3,1.0,0.0,123,1.0,18.0,Liverpool
,Mauricio Pellegrino,ar ARG,DF,12,11,0.0,0.0,2004-2005,/en/players/8b3d6528/Mauricio-Pellegrino,8b3d6528,Liverpool,912,10.1,1.0,0.0,123,5.0,861.0,Liverpool
,Stephen Warnock,eng ENG,DF,19,11,1.0,0.0,2004-2005,/en/players/07869028/Stephen-Warnock,07869028,Liverpool,803,8.9,1.0,0.0,123,6.0,6284.0,Liverpool
,Djibril Cissé,fr FRA,FW,16,10,1.0,4.0,2004-2005,/en/players/7e6917be/Djibril-Cisse,7e6917be,Liverpool,932,10.4,0.0,0.0,123,4.0,6285.0,Liverpool
,Chris Kirkland,eng ENG,GK,10,10,0.0,0.0,2004-2005,/en/players/710265d2/Chris-Kirkland,710265d2,Liverpool,900,10.0,0.0,0.0,123,6.0,6274.0,Liverpool
,Antonio Núñez,es ESP,MF,18,8,0.0,0.0,2004-2005,/en/players/df89070b/Antonio-Nunez,df89070b,Liverpool,902,10.0,2.0,0.0,123,1.0,30.0,Liverpool
,Igor Bišćan,hr CRO,"DF,MF",19,8,0.0,2.0,2004-2005,/en/players/3597a728/Igor-Biscan,3597a728,Liverpool,728,8.1,0.0,0.0,123,16.0,6276.0,Liverpool
