Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,Andrea Parola,it ITA,MF,33,29,1.0,0.0,2007-2008,19b163,Cagliari,"2,610",29.0,7.0,0.0,184.0,9.0,
,Alessandro Agostini,it ITA,DF,28,27,0.0,0.0,2007-2008,9549f66d,Cagliari,"2,386",26.5,7.0,0.0,184.0,9.0,
,Luis Diego López,uy URU,DF,26,25,0.0,0.0,2007-2008,1a0d1319,Cagliari,"2,178",24.2,6.0,0.0,184.0,8.0,
,Pasquale Foggia,it ITA,"FW,MF",33,24,3.0,5.0,2007-2008,9255af5d,Cagliari,"2,126",23.6,4.0,0.0,184.0,9.0,
,Michele Ferri,it ITA,DF,27,22,0.0,0.0,2007-2008,504124ad,Cagliari,"1,980",22.0,4.0,0.0,184.0,9.0,
,Michele Fini,it ITA,MF,31,22,2.0,3.0,2007-2008,d4894685,Cagliari,"1,874",20.8,5.0,2.0,184.0,9.0,
,Davide Biondini,it ITA,MF,27,21,1.0,1.0,2007-2008,b4c3070a,Cagliari,"1,862",20.7,7.0,0.0,184.0,9.0,
,Alessandro Matri,it ITA,FW,34,20,2.0,6.0,2007-2008,58d97e77,Cagliari,"1,964",21.8,1.0,0.0,184.0,9.0,
,Marco Storari,it ITA,GK,20,20,0.0,0.0,2007-2008,fb5eb6e0,Cagliari,"1,800",20.0,2.0,0.0,184.0,9.0,
,Robert Acquafresca,it ITA,FW,32,20,1.0,10.0,2007-2008,d2b115ae,Cagliari,"1,714",19.0,4.0,0.0,184.0,9.0,
,Jeda,br BRA,FW,20,18,0.0,3.0,2007-2008,9bc3,Cagliari,"1,641",18.2,1.0,0.0,184.0,2.0,
,Michele Canini,it ITA,DF,18,17,0.0,0.0,2007-2008,171f762,Cagliari,"1,545",17.2,4.0,0.0,184.0,9.0,
,Francesco Pisano,it ITA,DF,17,14,0.0,0.0,2007-2008,d76a53f3,Cagliari,"1,240",13.8,5.0,1.0,184.0,9.0,
,Cristiano Del Grosso,it ITA,DF,17,13,0.0,0.0,2007-2008,b0603a52,Cagliari,"1,175",13.1,2.0,1.0,184.0,9.0,
,Andrea Cossu,it ITA,MF,16,13,2.0,1.0,2007-2008,70fd593e,Cagliari,"1,081",12.0,4.0,0.0,184.0,9.0,
,Marco Fortin,it ITA,GK,12,12,0.0,0.0,2007-2008,bdf0ae60,Cagliari,"1,080",12.0,0.0,0.0,184.0,9.0,
