,Player,Link,Player_id,Player_name,Nationality,Position
83,Juan Pablo Colinas,/en/players/b2cab8f4/Juan-Pablo-Colinas,b2cab8f4,Juan-Pablo-Coli,es ESP,GK
84,Juanma,/en/players/209581c1/Juanma,209581c1,Juanm,es ESP,DF
85,Sylvain N'Diaye,/en/players/fb5f3505/Sylvain-NDiaye,fb5f3505,Sylvain-NDi,sn SEN,"DF,MF"
86,Andrés Santos,/en/players/e68ad30f/Andres-Santos,68ad30f,Andres-Santo,es ESP,MF
87,Antonio Longás,/en/players/d7821711/Antonio-Longas,d7821711,Antonio-Long,es ESP,MF
88,Mikel Arruabarrena,/en/players/ad0c4ebb/Mikel-Arruabarrena,d0c4ebb,Mikel-Arruab,es ESP,FW
89,Jesuli,/en/players/3bfc833a/Jesuli,3bfc833a,Jesuli,es ESP,MF
90,Rubén Rosquete,/en/players/d2161d62/Ruben-Rosquete,d2161d62,Ruben-Rosquet,es ESP,FW
91,Alejandro Alfaro,/en/players/7c293728/Alejandro-Alfaro,7c293728,Alejandro-Alfaro,es ESP,"FW,MF"
92,Juanlu,/en/players/431ac3e7/Juanlu,431ac3e7,Juanlu,es ESP,"FW,MF"
93,Ezequiel Luna,/en/players/772e46d9/Ezequiel-Luna,772e46d9,Ezequiel-Lu,ar ARG,DF
94,Richi,/en/players/90517f8a/Richi,90517f8a,Richi,es ESP,"FW,MF"
95,Daniel N'Gom Kome,/en/players/8076455d/Daniel-NGom-Kome,8076455d,Daniel-NGom-Kom,cm CMR,MF
96,Luis García,/en/players/a716e5a4/Luis-Garcia,716e5a4,Luis-Garci,es ESP,GK
97,Pau Cendrós,/en/players/9b9c9388/Pau-Cendros,9b9c9388,Pau-Cendro,es ESP,DF
98,Cristo Martín,/en/players/942338e2/Cristo-Martin,942338e2,Cristo-Marti,es ESP,MF
99,Gaizka Saizar,/en/players/5a706676/Gaizka-Saizar,5a706676,Gaizka-Saiz,es ESP,FW
100,Mikel Alonso,/en/players/eab32eb2/Mikel-Alonso,b32eb2,Mikel-Alonso,es ESP,MF
101,Román Martínez,/en/players/936dd5b4/Roman-Martinez,936dd5b4,Roman-Martinez,ar ARG,MF
