Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,José Luis Martí,es ESP,MF,36,36,4.0,1.0,2003-2004,111c668a,Sevilla,"3,212",35.7,10.0,1.0,46.0,1.0,,Sevilla
,Javi Navarro,es ESP,"DF,MF",36,36,1.0,1.0,2003-2004,df733521,Sevilla,"3,168",35.2,12.0,0.0,46.0,1.0,1779.0,Sevilla
,David Castedo,es ESP,DF,35,35,1.0,0.0,2003-2004,d39ba62e,Sevilla,"3,150",35.0,5.0,0.0,46.0,1.0,1776.0,Sevilla
,Esteban,es ESP,GK,30,29,0.0,0.0,2003-2004,4fc2638,Sevilla,"2,695",29.9,3.0,0.0,46.0,1.0,,Sevilla
,Júlio Baptista,br BRA,"FW,MF",30,28,3.0,20.0,2003-2004,44557475,Sevilla,"2,536",28.2,6.0,0.0,46.0,2.0,40.0,Sevilla
,Dani Alves,br BRA,"DF,MF",29,28,3.0,1.0,2003-2004,c9e99e49,Sevilla,"2,416",26.8,16.0,0.0,46.0,2.0,,Sevilla
,Juan Redondo,es ESP,DF,29,24,3.0,0.0,2003-2004,c2bed898,Sevilla,"2,098",23.3,8.0,0.0,46.0,1.0,1783.0,Sevilla
,Darío Silva,uy URU,FW,27,24,5.0,7.0,2003-2004,1efa0295,Sevilla,"2,055",22.8,7.0,2.0,46.0,8.0,1799.0,Sevilla
,Javier Casquero,es ESP,MF,25,24,0.0,5.0,2003-2004,b6daa16,Sevilla,"1,759",19.5,7.0,0.0,46.0,1.0,1777.0,Sevilla
,José Antonio Reyes,es ESP,MF,21,20,5.0,5.0,2003-2004,19058f02,Sevilla,"1,728",19.2,5.0,0.0,46.0,1.0,56.0,Sevilla
,Antoñito,es ESP,FW,28,15,3.0,5.0,2003-2004,822723a6,Sevilla,"1,566",17.4,7.0,1.0,46.0,1.0,1782.0,Sevilla
,Antonio López,es ESP,MF,18,15,,0.0,2003-2004,1fdd5ff7,Sevilla,"1,319",14.7,4.0,0.0,46.0,1.0,1800.0,Sevilla
,Francisco Gallardo,es ESP,MF,20,14,0.0,1.0,2003-2004,be80c87c,Sevilla,"1,107",12.3,5.0,0.0,46.0,1.0,,Sevilla
,Antonio Notario,es ESP,GK,10,9,0.0,0.0,2003-2004,b49f31c5,Sevilla,725,8.1,2.0,0.0,46.0,1.0,,Sevilla
,Gerardo Torrado,mx MEX,MF,10,7,0.0,0.0,2003-2004,c966c9a3,Sevilla,530,5.9,4.0,1.0,46.0,20.0,1780.0,Sevilla
,Germán Hornos,uy URU,FW,16,6,1.0,2.0,2003-2004,232366ec,Sevilla,656,7.3,1.0,1.0,46.0,8.0,1801.0,Sevilla
,Carlos Domínguez,es ESP,FW,24,5,0.0,4.0,2003-2004,c008c1c3,Sevilla,762,8.5,2.0,0.0,46.0,1.0,,Sevilla
,Óscar,es ESP,DF,8,4,0.0,0.0,2003-2004,87631dde,Sevilla,447,5.0,4.0,0.0,46.0,1.0,1786.0,Sevilla
,Inti Podestá,uy URU,MF,9,4,0.0,2.0,2003-2004,bcd3b2a1,Sevilla,371,4.1,5.0,1.0,46.0,8.0,1798.0,Sevilla
,Marcos Vales,es ESP,MF,10,3,1.0,0.0,2003-2004,f96c7239,Sevilla,389,4.3,2.0,0.0,46.0,1.0,,Sevilla
,Sergio Ramos,es ESP,DF,7,3,0.0,0.0,2003-2004,08511d65,Sevilla,386,4.3,1.0,0.0,46.0,1.0,38.0,Sevilla
,Alejandro Marañón,es ESP,DF,6,3,1.0,0.0,2003-2004,9be8422d,Sevilla,282,3.1,3.0,0.0,46.0,1.0,1802.0,Sevilla
,Jesús Navas,es ESP,"DF,MF",7,2,0.0,0.0,2003-2004,3f10bd22,Sevilla,226,2.5,0.0,0.0,46.0,1.0,1803.0,Sevilla
,Luis Gil Torres,es ESP,FW,4,2,0.0,0.0,2003-2004,3541486a,Sevilla,182,2.0,2.0,0.0,46.0,1.0,1804.0,Sevilla
