Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
84,Kyle Naughton,/en/players/e860c42f/Kyle-Naughton,860c42f,Kyle-Naughto,eng ENG,DF,Middlesbrough
85,Mark Yeates,/en/players/b3922703/Mark-Yeates,b3922703,Mark-Yeat,ie IRL,"DF,FW",Middlesbrough
86,Willo Flood,/en/players/be9f7bbe/Willo-Flood,be9f7bbe,Willo-Flood,ie IRL,"DF,MF",Middlesbrough
87,Isaiah Osbourne,/en/players/50888f31/Isaiah-Osbourne,50888f31,Isaiah-Osbou,eng ENG,MF,Middlesbrough
88,Lee Miller,/en/players/95cb2b6d/Lee-Miller,95cb2b6d,Lee-Mi,sct SCO,FW,Middlesbrough
89,Dave Kitson,/en/players/53c758b9/Dave-Kitson,53c758b9,Dave-Kitso,eng ENG,FW,Middlesbrough
90,Didier Digard,/en/players/557f1466/Didier-Digard,557f1466,Didier-Digard,fr FRA,MF,Middlesbrough
91,Marcus Bent,/en/players/69166246/Marcus-Bent,69166246,Marcus-Bent,eng ENG,FW,Middlesbrough
92,Luke Williams,/en/players/dedb0f8d/Luke-Williams,dedb0f8d,Luke-William,eng ENG,FW,Middlesbrough
93,Jay O'Shea,/en/players/2100a116/Jay-OShea,2100a116,Jay-OSh,ie IRL,MF,Middlesbrough
94,Caleb Folan,/en/players/bc0bc597/Caleb-Folan,bc0bc597,Caleb-Fo,ie IRL,FW,Middlesbrough
95,﻿Jason Steele,/en/players/28300a16/Jason-Steele,28300a16,Jason-St,eng ENG,GK,Middlesbrough
96,Scott McDonald,/en/players/c770acfc/Scott-McDonald,c770acfc,Scott-McDonald,au AUS,"FW,MF",Middlesbrough
97,Nicky Bailey,/en/players/9f2550f3/Nicky-Bailey,9f2550f3,Nicky-Bai,eng ENG,MF,Middlesbrough
98,Kris Boyd,/en/players/e9f4c7c5/Kris-Boyd,9f4c7c5,Kris-Boyd,sct SCO,FW,Middlesbrough
99,Kevin Thomson,/en/players/f93abde8/Kevin-Thomson,f93abde8,Kevin-Thomso,sct SCO,MF,Middlesbrough
100,Mickaël Tavares,/en/players/d5818bfa/Mickael-Tavares,d5818bfa,Mickael-Tav,sn SEN,MF,Middlesbrough
101,Paul Smith,/en/players/51551bec/Paul-Smith,51551bec,Paul-Smith,eng ENG,GK,Middlesbrough
102,Tarmo Kink,/en/players/7dc8ac1b/Tarmo-Kink,7dc8ac1b,Tarmo-Kink,ee EST,"FW,MF",Middlesbrough
103,Richard Smallwood,/en/players/c2c0306f/Richard-Smallwood,c2c0306f,Richard-Smallwood,eng ENG,MF,Middlesbrough
104,Andy Halliday,/en/players/7d48aed2/Andy-Halliday,7d48aed2,Andy-Hallid,sct SCO,"DF,MF",Middlesbrough
105,Merouane Zemmama,/en/players/5dc9790c/Merouane-Zemmama,5dc9790c,Merouane-Zemmam,ma MAR,"FW,MF",Middlesbrough
106,Matthew Kilgallon,/en/players/7c6a3c44/Matthew-Kilgallon,7c6a3c44,Matthew-Kilgallo,eng ENG,DF,Middlesbrough
107,Maximilian Haas,/en/players/8e64dc1a/Maximilian-Haas,8e64dc1a,Maximilian-H,de GER,"DF,MF",Middlesbrough
108,Connor Ripley,/en/players/7b5cb32e/Connor-Ripley,7b5cb32e,Connor-Ri,eng ENG,GK,Middlesbrough
109,Ben Gibson,/en/players/bcfb0142/Ben-Gibson,bcfb0142,Ben-Gibso,eng ENG,DF,Middlesbrough
