Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
74,William Aho Abou,/en/players/7d9995bb/William-Aho-Abou,7d9995bb,William-Aho-Abou,ci CIV,MF,Arles-Avignon
75,Kanga Akalé,/en/players/54ef5887/Kanga-Akale,54ef5887,Kanga-Ak,ci CIV,"FW,MF",Arles-Avignon
76,Livio Nabab,/en/players/1813b408/Livio-Nabab,1813b408,Livio-Nabab,gp GLP,"FW,MF",Arles-Avignon
77,Gaël Givet,/en/players/6d28f149/Gael-Givet,6d28f149,Gael-Givet,fr FRA,DF,Arles-Avignon
78,Steven Fortes,/en/players/574aa9ec/Steven-Fortes,574aa9ec,Steven-Fort,cv CPV,DF,Arles-Avignon
79,Adrien Coulomb,/en/players/da20634a/Adrien-Coulomb,da20634a,Adrien-Coulomb,fr FRA,MF,Arles-Avignon
80,Mohamed El-Gabbas,/en/players/457654f5/Mohamed-El-Gabbas,457654f5,Mohamed-El-Gabb,eg EGY,"FW,MF",Arles-Avignon
81,Brahim Ben Daoud,/en/players/c73a6b86/Brahim-Ben-Daoud,c73a6b86,Brahim-Ben-Daoud,fr FRA,FW,Arles-Avignon
82,Samuel Gigot,/en/players/41eebdf5/Samuel-Gigot,41eebdf5,Samuel-Gigot,fr FRA,"DF,MF",Arles-Avignon
83,Billel Omrani,/en/players/3060f38c/Billel-Omrani,3060f38c,Billel-Omrani,dz ALG,FW,Arles-Avignon
84,Damien Plessis,/en/players/91686eb2/Damien-Plessis,91686eb2,Damien-Plessi,fr FRA,MF,Arles-Avignon
85,Maxence Medjelled,/en/players/5483bac6/Maxence-Medjelled,5483bac6,Maxence-Medjelled,fr FRA,MF,Arles-Avignon
86,Nader Ghandri,/en/players/7f1c7219/Nader-Ghandri,7f1c7219,Nader-Ghandri,tn TUN,MF,Arles-Avignon
87,Danijel Aleksić,/en/players/d68cb24c/Danijel-Aleksic,d68cb24c,Danijel-Aleksic,rs SRB,"FW,MF",Arles-Avignon
88,Ibrahima Ba,/en/players/5d11cbc6/Ibrahima-Ba,5d11cbc6,Ibrahima-B,sn SEN,MF,Arles-Avignon
89,Maxime Blanc,/en/players/7390c85b/Maxime-Blanc,7390c85b,Maxime-Blanc,fr FRA,MF,Arles-Avignon
90,Larsen Touré,/en/players/db30e7db/Larsen-Toure,db30e7db,Larsen-Tou,gn GUI,"FW,MF",Arles-Avignon
91,Fawzi Ouaamar,/en/players/23ea9d9e/Fawzi-Ouaamar,23ea9d9e,Fawzi-Ouaam,ma MAR,MF,Arles-Avignon
92,Axel Maraval,/en/players/ed1b7002/Axel-Maraval,d1b7002,Axel-Marav,fr FRA,GK,Arles-Avignon
93,Rémy Bonne,/en/players/07de5400/Remy-Bonne,07de5400,Remy-Bo,fr FRA,DF,Arles-Avignon
94,Koro Koné,/en/players/92c63db5/Koro-Kone,92c63db5,Koro-Ko,ci CIV,"FW,MF",Arles-Avignon
95,Mamadou Niang,/en/players/5eb504fb/Mamadou-Niang,5eb504fb,Mamadou-Niang,sn SEN,FW,Arles-Avignon
96,Matej Delač,/en/players/922fae09/Matej-Delac,922fae09,Matej-Delac,hr CRO,GK,Arles-Avignon
97,Fousseyni Cissé,/en/players/7f9ee220/Fousseyni-Cisse,7f9ee220,Fousseyni-Ci,fr FRA,FW,Arles-Avignon
98,Wilfried Domoraud,/en/players/2dd9fd75/Wilfried-Domoraud,2dd9fd75,Wilfried-Domoraud,fr FRA,MF,Arles-Avignon
99,Garry Bocaly,/en/players/0d627659/Garry-Bocaly,0d627659,Garry-Boc,fr FRA,DF,Arles-Avignon
