,Player,Link,Player_id,Player_name,Nationality,Position
97,Pierre Slidja,/en/players/bdd39a03/Pierre-Slidja,bdd39a03,Pierre-Slidj,fr FRA,FW
98,Lyes Houri,/en/players/a6d31fc7/Lyes-Houri,6d31fc7,Lyes-Houri,fr FRA,MF
99,Sekou Baradji,/en/players/5693aa98/Sekou-Baradji,5693aa98,Sekou-Baradji,fr FRA,"DF,MF"
100,Isaac Mbenza,/en/players/aa1a8c7e/Isaac-Mbenza,1a8c7e,Isaac-Mbenz,be BEL,"FW,MF"
101,Lucas Daury,/en/players/e531643b/Lucas-Daury,531643b,Lucas-Dau,fr FRA,MF
102,Nicolas Delion,/en/players/91cd6698/Nicolas-Delion,91cd6698,Nicolas-Delio,fr FRA,DF
103,Anthony Dupré,/en/players/d3d529ed/Anthony-Dupre,d3d529ed,Anthony-Du,fr FRA,GK
104,﻿Damien Perquis,/en/players/0b221d15/Damien-Perquis,0b221d15,Damien-Perqui,fr FRA,GK
105,Loïc Nestor,/en/players/bb53ee38/Loic-Nestor,bb53ee38,Loic-Nesto,fr FRA,DF
106,Baptiste Aloé,/en/players/dd83724a/Baptiste-Aloe,dd83724a,Baptiste-Alo,fr FRA,DF
107,Moussa Niakhate,/en/players/00242715/Moussa-Niakhate,00242715,Moussa-Niakhat,fr FRA,"DF,FW"
108,Adrien Tameze,/en/players/8da74c05/Adrien-Tameze,8da74c05,Adrien-Tamez,cm CMR,MF
109,Nuno da Costa,/en/players/909222de/Nuno-da-Costa,909222de,Nuno-da-Cost,cv CPV,FW
110,Édouard Butin,/en/players/7eeac466/Edouard-Butin,7eeac466,Edouard-Buti,fr FRA,FW
111,Emmanuel Ntim,/en/players/59045046/Emmanuel-Ntim,59045046,Emmanuel-Ntim,gh GHA,DF
112,Adil Azbague,/en/players/6a8894f7/Adil-Azbague,6a8894f7,Adil-Azbagu,fr FRA,MF
113,Ismaël Haddou,/en/players/8c84e5ad/Ismael-Haddou,8c84e5ad,Ismael-Haddou,dz ALG,MF
114,Gaëtan Missi Mezu,/en/players/6aded189/Gaetan-Missi-Mezu,6aded189,Gaetan-Missi-Mezu,ga GAB,FW
115,Andy Faustin,/en/players/eb17cc43/Andy-Faustin,b17cc43,Andy-Fausti,ht HAI,MF
116,Elhadj Dabo,/en/players/4cb5951d/Elhadj-Dabo,4cb5951d,Elhadj-Dabo,sn SEN,MF
117,Nicolas Kocik,/en/players/40097fb5/Nicolas-Kocik,40097fb5,Nicolas-Kocik,fr FRA,GK
118,Anthony Oliveira,/en/players/cb6674ea/Anthony-Oliveira,cb6674ea,Anthony-Olivei,pt POR,FW
119,Ahmed Kantari,/en/players/e45045d2/Ahmed-Kantari,45045d2,Ahmed-Kantari,ma MAR,DF
120,Lebo Mothiba,/en/players/3eaf8817/Lebo-Mothiba,3eaf8817,Lebo-Mothib,za RSA,FW
121,Steve Ambri,/en/players/9f9b4d1f/Steve-Ambri,9f9b4d1f,Steve-Ambri,gw GNB,MF
122,Cyrille Merville,/en/players/5e398b4b/Cyrille-Merville,5e398b4b,Cyrille-Mervi,fr FRA,GK
123,Gwenn Foulon,/en/players/97d53e29/Gwenn-Foulon,97d53e29,Gwenn-Foulo,fr FRA,FW
124,Julien Masson,/en/players/f6b1fa16/Julien-Masson,f6b1fa16,Julien-Masso,fr FRA,MF
125,Sikou Niakaté,/en/players/8eef18aa/Sikou-Niakate,8eef18aa,Sikou-Niakat,fr FRA,DF
126,Laurent Dos Santos,/en/players/69b89eff/Laurent-Dos-Santos,69b89eff,Laurent-Dos-Santo,fr FRA,DF
127,Tony Mauricio,/en/players/96e5168e/Tony-Mauricio,96e5168e,Tony-Mauricio,fr FRA,MF
128,Johann Ramaré,/en/players/66b82457/Johann-Ramare,66b82457,Johann-Ram,fr FRA,MF
129,Lossémy Karaboué,/en/players/eacab42f/Lossemy-Karaboue,cab42f,Lossemy-Karabou,ci CIV,MF
130,Thiago Xavier,/en/players/62562194/Thiago-Xavier,62562194,Thiago-Xavi,br BRA,MF
131,Mehdi Tahrat,/en/players/ec1aa15e/Mehdi-Tahrat,c1aa15e,Mehdi-Tahrat,dz ALG,"DF,MF"
132,Mehdy Guezoui,/en/players/ef0fa0a5/Mehdy-Guezoui,f0fa0a5,Mehdy-Guezoui,fr FRA,"FW,MF"
133,Lenny Nangis,/en/players/74f3f15e/Lenny-Nangis,74f3f15e,Lenny-Nangi,fr FRA,"MF,FW"
134,Gaëtan Robail,/en/players/8361b5d6/Gaetan-Robail,8361b5d6,Gaetan-Robai,fr FRA,"MF,FW"
135,Jordan Pierre-Charles,/en/players/b5129ddc/Jordan-Pierre-Charles,b5129ddc,Jordan-Pierre-Ch,mq MTQ,DF
136,Jordan Tell,/en/players/4f093689/Jordan-Tell,4f093689,Jordan-T,fr FRA,"FW,MF"
137,Jorris Romil,/en/players/ee10c3de/Jorris-Romil,10c3de,Jorris-Romi,gp GLP,MF
138,Chérif Quenum,/en/players/077fb406/Cherif-Quenum,077fb406,Cherif-Quenum,fr FRA,DF
139,Amadou Konaté,/en/players/34a946fb/Amadou-Konate,34a946fb,Amadou-Konat,ml MLI,FW
140,Florian Raspentino,/en/players/9448a3be/Florian-Raspentino,9448a3be,Florian-Raspentino,fr FRA,"FW,MF"
141,Joffrey Cuffaut,/en/players/f71e34b2/Joffrey-Cuffaut,f71e34b2,Joffrey-Cuffaut,fr FRA,"DF,MF"
142,Nathaël Julan,/en/players/39901146/Nathael-Julan,39901146,Nathael-Ju,fr FRA,FW
143,Eden Massouema,/en/players/639b42f5/Eden-Massouema,639b42f5,Eden-Massouem,cg CGO,MF
144,Gaëtan Arib,/en/players/4fde69e6/Gaetan-Arib,4fde69e6,Gaetan-Arib,fr FRA,MF
145,Frédéric Bong,/en/players/19614093/Frederic-Bong,19614093,Frederic-Bong,cm CMR,DF
146,Hillel Konaté,/en/players/bb2e2a55/Hillel-Konate,bb2e2a55,Hillel-Konat,bf BFA,GK
147,Kevin Cabral,/en/players/42af215b/Kevin-Cabral,42af215b,Kevin-Cab,fr FRA,MF
148,Anthony Goelzer,/en/players/96684397/Anthony-Goelzer,96684397,Anthony-Goelz,fr FRA,DF
149,Sloan Privat,/en/players/4df04a86/Sloan-Privat,4df04a86,Sloan-Privat,fr FRA,FW
150,Allan Linguet,/en/players/36807c98/Allan-Linguet,36807c98,Allan-Linguet,fr FRA,DF
151,Mahame Siby,/en/players/6d075c67/Mahame-Siby,6d075c67,Mahame-Sib,ml MLI,MF
152,William Baku,/en/players/f519424d/William-Baku,f519424d,William-Baku,fr FRA,MF
153,Lucas Ribeiro,/en/players/dab5e974/Lucas-Ribeiro,dab5e974,Lucas-Ribeiro,br BRA,FW
154,Thomas Vincensini,/en/players/249f9a4c/Thomas-Vincensini,249f9a4c,Thomas-Vincensini,fr FRA,GK
155,﻿Maxime Spano,/en/players/8f1d935b/Maxime-Spano,8f1d935b,Maxime-Spano,dz ALG,DF
156,Jérôme Prior,/en/players/1061c207/Jerome-Prior,1061c207,Jerome-Prio,fr FRA,GK
157,Teddy Chevalier,/en/players/03b260bb/Teddy-Chevalier,03b260bb,Teddy-Chevali,fr FRA,FW
158,Sessi D'Almeida,/en/players/2c574121/Sessi-DAlmeida,2c574121,Sessi-DAlmeid,bj BEN,MF
159,Lilian Brassier,/en/players/5b146df3/Lilian-Brassier,5b146df3,Lilian-Brassi,fr FRA,"DF,MF"
160,Baptiste Guillaume,/en/players/9453d2f4/Baptiste-Guillaume,9453d2f4,Baptiste-Guillaum,be BEL,FW
161,Malek Chergui,/en/players/69579068/Malek-Chergui,69579068,Malek-Chergui,fr FRA,"FW,MF"
162,Gauthier Hein,/en/players/563fcd6b/Gauthier-Hein,563fcd6b,Gauthier-Hei,fr FRA,MF
163,Noah Diliberto,/en/players/5659d773/Noah-Diliberto,5659d773,Noah-Diliberto,fr FRA,MF
164,Matteo Fedele,/en/players/80ab2ca2/Matteo-Fedele,80ab2ca2,Matteo-Fed,ch SUI,MF
165,Aly Abeid,/en/players/bbe88396/Aly-Abeid,bbe88396,Aly-Abeid,mr MTN,"MF,DF"
166,Benjamin Moukandjo,/en/players/e0312377/Benjamin-Moukandjo,0312377,Benjamin-Moukandjo,cm CMR,FW
167,Aymen Boutoutaou,/en/players/b5339db2/Aymen-Boutoutaou,b5339db2,Aymen-Boutoutaou,fr FRA,FW
168,Abdoulaye Ousmane,/en/players/bfa34064/Abdoulaye-Ousmane,bfa34064,Abdoulaye-Ousm,mr MTN,DF
169,Éric Vandenabeele,/en/players/bd61eff7/Eric-Vandenabeele,bd61eff7,Eric-Vandenab,fr FRA,DF
170,Arsène Elogo,/en/players/fe788e89/Arsene-Elogo,fe788e89,Arsene-Elogo,cm CMR,"MF,FW"
171,Jaba Kankava,/en/players/3f10ad0c/Jaba-Kankava,3f10ad0c,Jaba-Kankav,ge GEO,MF
172,Mathis Picouleau,/en/players/46224cd4/Mathis-Picouleau,46224cd4,Mathis-Picouleau,fr FRA,MF
173,Ismaël Doukouré,/en/players/0512a60a/Ismael-Doukoure,0512a60a,Ismael-Doukou,fr FRA,DF
174,Théo Pellenard,/en/players/97fb4608/Theo-Pellenard,97fb4608,Theo-Pellenard,fr FRA,"DF,MF"
175,Issouf Macalou,/en/players/14a7f931/Issouf-Macalou,14a7f931,Issouf-Macalou,ci CIV,FW
176,Moussa Guel,/en/players/0dce2e1d/Moussa-Guel,0dce2e1d,Moussa-Gu,ci CIV,FW
177,Metehan Güçlü,/en/players/0ee664db/Metehan-Guclu,0ee664db,Metehan-Guclu,tr TUR,FW
178,Yassine Haouari,/en/players/9c4dc4e7/Yassine-Haouari,9c4dc4e7,Yassine-Haouari,fr FRA,FW
179,Mohamed Kaba,/en/players/517cfb19/Mohamed-Kaba,517cfb19,Mohamed-Kab,fr FRA,MF
180,Lucas Chevalier,/en/players/b3d76d84/Lucas-Chevalier,b3d76d84,Lucas-Chevali,fr FRA,GK
181,Mathieu Debuchy,/en/players/92232aad/Mathieu-Debuchy,92232aad,Mathieu-Debuch,fr FRA,"DF,MF"
182,Quentin Lecoeuche,/en/players/197038af/Quentin-Lecoeuche,197038af,Quentin-Lecoeuch,fr FRA,"MF,DF"
183,Floyd Ayité,/en/players/fd5888a0/Floyd-Ayite,fd5888a0,Floyd-Ayit,tg TOG,"MF,FW"
184,Ugo Bonnet,/en/players/edfe36a7/Ugo-Bonnet,dfe36a7,Ugo-Bonnet,fr FRA,"FW,MF"
185,Ilyes Hamache,/en/players/c6a32d8a/Ilyes-Hamache,c6a32d8a,Ilyes-Hamach,fr FRA,MF
186,Saturnin Allagbé,/en/players/b052b8bf/Saturnin-Allagbe,b052b8bf,Saturnin-Allagb,bj BEN,GK
187,Abou Ouattara,/en/players/6578600f/Abou-Ouattara,6578600f,Abou-Ouatt,bf BFA,"FW,MF"
188,Aeron Zinga,/en/players/b1e94abc/Aeron-Zinga,b1e94abc,Aeron-Zing,fr FRA,FW
189,Mattéo Rabuel,/en/players/d98e7d56/Matteo-Rabuel,d98e7d56,Matteo-Rabu,fr FRA,DF
190,Cheick Timite,/en/players/2c92d3c0/Cheick-Timite,2c92d3c0,Cheick-Timit,ci CIV,FW
191,Jawed Kalai,/en/players/9a5de4a7/Jawed-Kalai,9a5de4a7,Jawed-Kalai,fr FRA,MF
192,Oumar Sidibé,/en/players/aa292a87/Oumar-Sidibe,292a87,Oumar-Sidib,fr FRA,MF
193,Florian Martin,/en/players/52a11f2d/Florian-Martin,52a11f2d,Florian-Marti,fr FRA,MF
194,Alois Penin,/en/players/01493deb/Alois-Penin,01493deb,Alois-Peni,fr FRA,MF
