Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
26,Xabi Prieto,/en/players/d054d8b0/Xabi-Prieto,d054d8b0,Xabi-Prieto,es ESP,MF,Real-Sociedad
28,Gorka Larrea,/en/players/242e09b6/Gorka-Larrea,242e09b6,Gorka-L,es ESP,MF,Real-Sociedad
29,Oskitz Estefanía,/en/players/357b97d7/Oskitz-Estefania,357b97d7,Oskitz-Estefani,es ESP,FW,Real-Sociedad
30,﻿Asier Riesgo,/en/players/581c5276/Asier-Riesgo,581c5276,Asier-Riesgo,es ESP,GK,Real-Sociedad
31,Mikel Labaka,/en/players/e83de90d/Mikel-Labaka,83de90d,Mikel-Labak,es ESP,DF,Real-Sociedad
32,Luiz Alberto,/en/players/5b803ce4/Luiz-Alberto,5b803ce4,Luiz-Alberto,br BRA,DF,Real-Sociedad
33,Adriano Rossato,/en/players/38c090c1/Adriano-Rossato,38c090c1,Adriano-Rossato,br BRA,DF,Real-Sociedad
34,Gari Uranga,/en/players/2a701b9e/Gari-Uranga,2a701b9e,Gari-Urang,es ESP,MF,Real-Sociedad
35,Jérémie Bréchet,/en/players/2a13c80b/Jeremie-Brechet,2a13c80b,Jeremie-Brechet,fr FRA,"DF,MF",Real-Sociedad
36,Iban Zubiaurre,/en/players/be3e3e7e/Iban-Zubiaurre,be3e3e7e,Iban-Zubiau,es ESP,DF,Real-Sociedad
37,Dragan Mladenović,/en/players/1e661c8a/Dragan-Mladenovic,1e661c8a,Dragan-Mladenovic,rs SRB,MF,Real-Sociedad
38,Mikel Arteta,/en/players/d934d1e6/Mikel-Arteta,d934d1e6,Mikel-Artet,es ESP,MF,Real-Sociedad
39,Imanol Agirretxe,/en/players/c84c1afc/Imanol-Agirretxe,c84c1afc,Imanol-Agirretx,es ESP,FW,Real-Sociedad
40,Juan Domínguez,/en/players/3cf63263/Juan-Dominguez,3cf63263,Juan-Dominguez,es ESP,FW,Real-Sociedad
41,Javier Garrido,/en/players/3b142ce5/Javier-Garrido,3b142ce5,Javier-Garrido,es ESP,DF,Real-Sociedad
42,Álvaro Novo,/en/players/e2b88098/Alvaro-Novo,2b88098,Alvaro-Novo,es ESP,MF,Real-Sociedad
43,Gaizka Garitano,/en/players/0f5ededa/Gaizka-Garitano,0f5ededa,Gaizka-Garitano,es ESP,MF,Real-Sociedad
44,Morten Skoubo,/en/players/ab2a3515/Morten-Skoubo,b2a3515,Morten-Skoubo,dk DEN,FW,Real-Sociedad
45,Ion Ansotegi,/en/players/72b26e8e/Ion-Ansotegi,72b26e8e,Ion-Ansotegi,es ESP,DF,Real-Sociedad
46,Mark González,/en/players/d8c62450/Mark-Gonzalez,d8c62450,Mark-Gonzalez,cl CHI,"FW,MF",Real-Sociedad
47,Daniel Cifuentes,/en/players/488a3de8/Daniel-Cifuentes,488a3de8,Daniel-Cifuent,es ESP,DF,Real-Sociedad
48,Jhon Viáfara,/en/players/79344ebf/Jhon-Viafara,79344ebf,Jhon-Viaf,co COL,MF,Real-Sociedad
49,Dalibor Stevanović,/en/players/aeda8e51/Dalibor-Stevanovic,da8e51,Dalibor-Stevanovic,si SVN,MF,Real-Sociedad
50,Mikel González,/en/players/7cc5bd9c/Mikel-Gonzalez,7cc5bd9c,Mikel-Gonzalez,es ESP,DF,Real-Sociedad
51,Iñigo Díaz de Cerio,/en/players/757bd109/Inigo-Diaz-de-Cerio,757bd109,Inigo-Diaz-de-Cerio,es ESP,FW,Real-Sociedad
52,Claudio Bravo,/en/players/10072610/Claudio-Bravo,10072610,Claudio-Bravo,cl CHI,GK,Real-Sociedad
53,Gerardo,/en/players/07c345de/Gerardo,07c345de,Gerardo,es ESP,"DF,MF",Real-Sociedad
54,Juanito,/en/players/47176127/Juanito,47176127,Juanito,es ESP,"DF,MF",Real-Sociedad
55,Diego Rivas,/en/players/eecf46bc/Diego-Rivas,cf46bc,Diego-Riv,es ESP,MF,Real-Sociedad
56,Sávio,/en/players/4abe5c93/Savio,4abe5c93,Savio,br BRA,MF,Real-Sociedad
57,Víctor López,/en/players/cc7c8a52/Victor-Lopez,cc7c8a52,Victor-Lopez,ar ARG,DF,Real-Sociedad
58,Germán Herrera,/en/players/2c72c960/German-Herrera,2c72c960,German-H,ar ARG,FW,Real-Sociedad
59,Jesuli,/en/players/3bfc833a/Jesuli,3bfc833a,Jesuli,es ESP,MF,Real-Sociedad
60,Dani Estrada,/en/players/519412fd/Dani-Estrada,519412fd,Dani-Estrad,es ESP,"DF,MF",Real-Sociedad
61,Gorka Elustondo,/en/players/7b309e55/Gorka-Elustondo,7b309e55,Gorka-Elustondo,es ESP,"DF,MF",Real-Sociedad
62,Fábio Felício,/en/players/a8d8dc0d/Fabio-Felicio,8d8dc0d,Fabio-Felicio,pt POR,"FW,MF",Real-Sociedad
63,Xabier Castillo,/en/players/638dc43b/Xabier-Castillo,638dc43b,Xabier-Castillo,hr CRO,DF,Real-Sociedad
64,Andrija Delibašić,/en/players/4de03033/Andrija-Delibasic,4de03033,Andrija-Delibasic,me MNE,FW,Real-Sociedad
65,José Luis Martí,/en/players/111c668a/Jose-Luis-Marti,111c668a,Jose-Luis-Marti,es ESP,MF,Real-Sociedad
66,Carlos Martínez,/en/players/d9b0cc38/Carlos-Martinez,d9b0cc38,Carlos-Martinez,es ESP,DF,Real-Sociedad
67,Nacho,/en/players/07537011/Nacho,07537011,Nacho,es ESP,"DF,MF",Real-Sociedad
68,Víctor Casadesús,/en/players/73cd0a2a/Victor-Casadesus,73cd0a2a,Victor-Casadesu,es ESP,FW,Real-Sociedad
69,Fran Mérida,/en/players/0e50f929/Fran-Merida,0e50f929,Fran-Merid,es ESP,MF,Real-Sociedad
70,David Vaughan,/en/players/b950cb68/David-Vaughan,b950cb68,David-Vaugh,wls WAL,MF,Real-Sociedad
71,Markel Bergara,/en/players/04a65a8f/Markel-Bergara,04a65a8f,Markel-Berg,es ESP,MF,Real-Sociedad
72,Iñigo Sarasola,/en/players/6998e6da/Inigo-Sarasola,6998e6da,Inigo-Saraso,es ESP,DF,Real-Sociedad
73,Borja Viguera,/en/players/d906a703/Borja-Viguera,d906a703,Borja-Vigu,es ESP,FW,Real-Sociedad
74,Moha,/en/players/e3d09e03/Moha,3d09e03,Moh,ma MAR,"DF,FW",Real-Sociedad
75,Sergio Rodríguez,/en/players/44e3ae1a/Sergio-Rodriguez,44e3ae1a,Sergio-Rodriguez,es ESP,MF,Real-Sociedad
76,Sebastián Abreu,/en/players/eb310aab/Sebastian-Abreu,b310aab,Sebastian-Abreu,uy URU,FW,Real-Sociedad
77,Necati Ateş,/en/players/c82fa989/Necati-Ates,c82fa989,Necati-At,tr TUR,"FW,MF",Real-Sociedad
78,Eñaut Zubikarai,/en/players/5e92d0ec/Enaut-Zubikarai,5e92d0ec,Enaut-Zubikarai,es ESP,GK,Real-Sociedad
79,Javier Ros,/en/players/6b2f1a78/Javier-Ros,6b2f1a78,Javier-Ro,es ESP,MF,Real-Sociedad
80,Toño Ramírez,/en/players/dc4511f3/Tono-Ramirez,dc4511f3,Tono-Ramirez,es ESP,GK,Real-Sociedad
81,Boukary Dramé,/en/players/a5cd894b/Boukary-Drame,5cd894b,Boukary-Dram,sn SEN,"DF,MF",Real-Sociedad
82,Alain Eizmendi,/en/players/d59d0a17/Alain-Eizmendi,d59d0a17,Alain-Eizmendi,es ESP,"DF,MF",Real-Sociedad
83,Giovanni Sio,/en/players/0fe7f7bc/Giovanni-Sio,0fe7f7bc,Giovanni-Sio,ci CIV,"FW,MF",Real-Sociedad
84,David Zurutuza,/en/players/d9bda115/David-Zurutuza,d9bda115,David-Zurutuz,es ESP,MF,Real-Sociedad
85,Antoine Griezmann,/en/players/df69b544/Antoine-Griezmann,df69b544,Antoine-Griezm,fr FRA,"FW,MF",Real-Sociedad
86,Alberto de la Bella,/en/players/8497faf7/Alberto-de-la-Bella,8497faf7,Alberto-de-la-B,es ESP,DF,Real-Sociedad
87,Carlos Bueno,/en/players/2f57aca3/Carlos-Bueno,2f57aca3,Carlos-Bueno,uy URU,FW,Real-Sociedad
88,Emilio Nsue,/en/players/1c9bc4fa/Emilio-Nsue,1c9bc4fa,Emilio-Nsu,gq EQG,"DF,FW",Real-Sociedad
89,Jonathan Estrada,/en/players/8873a3e2/Jonathan-Estrada,8873a3e2,Jonathan-Estrad,co COL,MF,Real-Sociedad
91,Franck Songo'o,/en/players/835c259d/Franck-Songoo,835c259d,Franck-Songoo,cm CMR,"FW,MF",Real-Sociedad
92,Asier Illarramendi,/en/players/5ce0b5ba/Asier-Illarramendi,5ce0b5ba,Asier-Illarramendi,es ESP,MF,Real-Sociedad
93,Alex Albistegi,/en/players/48be1e34/Alex-Albistegi,48be1e34,Alex-Albistegi,es ESP,MF,Real-Sociedad
94,Raúl Tamudo,/en/players/c026089c/Raul-Tamudo,c026089c,Raul-Tamudo,es ESP,FW,Real-Sociedad
