Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
66,Adam Rooney,/en/players/57f37196/Adam-Rooney,57f37196,Adam-Roo,ie IRL,"FW,MF",Stoke-City
67,Danny Higginbotham,/en/players/688135a1/Danny-Higginbotham,688135a1,Danny-Higginbotham,gi GIB,DF,Stoke-City
68,Liam Lawrence,/en/players/60727f47/Liam-Lawrence,60727f47,Liam-Lawrenc,ie IRL,MF,Stoke-City
69,Salif Diao,/en/players/acc326da/Salif-Diao,cc326da,Salif-Diao,sn SEN,MF,Stoke-City
70,Ricardo Fuller,/en/players/c764fa54/Ricardo-Fuller,c764fa54,Ricardo-Fu,jm JAM,FW,Stoke-City
71,Lee Hendrie,/en/players/8716663c/Lee-Hendrie,8716663c,Lee-Hendri,eng ENG,MF,Stoke-City
72,Vincent Péricard,/en/players/c6fd72ac/Vincent-Pericard,c6fd72ac,Vincent-Pericard,fr FRA,FW,Stoke-City
73,Jonathan Fortune,/en/players/dfa0cd77/Jonathan-Fortune,dfa0cd77,Jonathan-Fortu,eng ENG,DF,Stoke-City
74,Gabriel Zakuani,/en/players/f9263f99/Gabriel-Zakuani,f9263f99,Gabriel-Zakuani,cd COD,DF,Stoke-City
75,Dominic Matteo,/en/players/f6ea8457/Dominic-Matteo,f6ea8457,Dominic-Matteo,sct SCO,"DF,MF",Stoke-City
76,Lee Martin,/en/players/becaa518/Lee-Martin,becaa518,Lee-Marti,eng ENG,"FW,MF",Stoke-City
77,Patrik Berger,/en/players/f16325b3/Patrik-Berger,f16325b3,Patrik-Berg,cz CZE,MF,Stoke-City
78,Jeff Whitley,/en/players/4e93bfac/Jeff-Whitley,4e93bfac,Jeff-Whit,nir NIR,MF,Stoke-City
79,﻿Rory Delap,/en/players/9b0dac73/Rory-Delap,9b0dac73,Rory-D,ie IRL,MF,Stoke-City
80,Richard Cresswell,/en/players/2feffa68/Richard-Cresswell,2feffa68,Richard-Cressw,eng ENG,FW,Stoke-City
81,Ryan Shawcross,/en/players/285a3d44/Ryan-Shawcross,285a3d44,Ryan-Shawcro,eng ENG,DF,Stoke-City
82,Leon Cort,/en/players/312b5891/Leon-Cort,312b5891,Leon-Cort,gy GUY,DF,Stoke-City
83,Danny Pugh,/en/players/7f60e79c/Danny-Pugh,7f60e79c,Danny-Pugh,eng ENG,"DF,MF",Stoke-City
84,Andy Griffin,/en/players/38517dc5/Andy-Griffin,38517dc5,Andy-Griffi,eng ENG,DF,Stoke-City
85,Stephen Wright,/en/players/4722b94a/Stephen-Wright,4722b94a,Stephen-Wright,eng ENG,DF,Stoke-City
86,Glenn Whelan,/en/players/d5bd56a5/Glenn-Whelan,d5bd56a5,Glenn-Wh,ie IRL,MF,Stoke-City
87,Carlo Nash,/en/players/bd9670b3/Carlo-Nash,bd9670b3,Carlo-Nash,eng ENG,GK,Stoke-City
88,Chris Riggott,/en/players/6ec07df6/Chris-Riggott,6ec07df6,Chris-Riggott,eng ENG,DF,Stoke-City
89,Jon Parkin,/en/players/e8ec19c2/Jon-Parkin,8ec19c2,Jon-Parki,eng ENG,"DF,FW",Stoke-City
90,Jody Craddock,/en/players/573e5dd2/Jody-Craddock,573e5dd2,Jody-Craddock,eng ENG,"DF,MF",Stoke-City
91,Stephen Pearson,/en/players/568839eb/Stephen-Pearson,568839eb,Stephen-Pearso,sct SCO,MF,Stoke-City
92,Shola Ameobi,/en/players/e79a368b/Shola-Ameobi,79a368b,Shola-Ameobi,ng NGA,FW,Stoke-City
93,Jay Bothroyd,/en/players/8cdc5afd/Jay-Bothroyd,8cdc5afd,Jay-Bothroyd,eng ENG,FW,Stoke-City
94,Russell Hoult,/en/players/92f8fb89/Russell-Hoult,92f8fb89,Russell-Hoult,eng ENG,GK,Stoke-City
95,Demar Phillips,/en/players/f9abd777/Demar-Phillips,f9abd777,Demar-Philli,jm JAM,"DF,MF",Stoke-City
96,Anthony Pulis,/en/players/e65dd2c5/Anthony-Pulis,65dd2c5,Anthony-Puli,wls WAL,MF,Stoke-City
97,Thomas Sørensen,/en/players/31d82fec/Thomas-Sorensen,31d82fec,Thomas-So,dk DEN,GK,Stoke-City
98,Amdy Faye,/en/players/c0e82ee2/Amdy-Faye,c0e82ee2,Amdy-F,sn SEN,"DF,MF",Stoke-City
99,James Beattie,/en/players/7c881089/James-Beattie,7c881089,James-Beatti,eng ENG,FW,Stoke-City
100,Seyi Olofinjana,/en/players/d9ad4d20/Seyi-Olofinjana,d9ad4d20,Seyi-Olofinj,ng NGA,MF,Stoke-City
101,Matthew Etherington,/en/players/ef616df9/Matthew-Etherington,f616df9,Matthew-Etheringto,eng ENG,MF,Stoke-City
102,Dave Kitson,/en/players/53c758b9/Dave-Kitson,53c758b9,Dave-Kitso,eng ENG,FW,Stoke-City
103,Ibrahima Sonko,/en/players/1e7c36d0/Ibrahima-Sonko,1e7c36d0,Ibrahima-Sonko,sn SEN,DF,Stoke-City
104,Tom Soares,/en/players/b46e5985/Tom-Soares,b46e5985,Tom-So,eng ENG,MF,Stoke-City
105,Stephen Kelly,/en/players/4d7dd756/Stephen-Kelly,4d7dd756,Stephen-K,ie IRL,DF,Stoke-City
106,Michael Tonge,/en/players/046f30a8/Michael-Tonge,046f30a8,Michael-Tong,eng ENG,MF,Stoke-City
107,Henri Camara,/en/players/b2b48ae0/Henri-Camara,b2b48ae0,Henri-Cam,sn SEN,FW,Stoke-City
108,Andrew Davies,/en/players/8912dc31/Andrew-Davies,8912dc31,Andrew-Davi,eng ENG,DF,Stoke-City
109,Dean Whitehead,/en/players/a32204c9/Dean-Whitehead,32204c9,Dean-Whitehead,eng ENG,"DF,MF",Stoke-City
110,Robert Huth,/en/players/0bd1ea64/Robert-Huth,0bd1ea64,Robert-Huth,de GER,DF,Stoke-City
111,Abdoulaye Faye,/en/players/99df1bff/Abdoulaye-Faye,99df1bff,Abdoulaye-F,sn SEN,"DF,MF",Stoke-City
112,Danny Collins,/en/players/b89cd819/Danny-Collins,b89cd819,Danny-Colli,wls WAL,DF,Stoke-City
113,Tuncay Şanlı,/en/players/e7a2dc67/Tuncay-Sanli,7a2dc67,Tuncay-Sanli,tr TUR,"FW,MF",Stoke-City
114,Asmir Begović,/en/players/7b4de647/Asmir-Begovic,7b4de647,Asmir-Begovic,ba BIH,GK,Stoke-City
115,Louis Moult,/en/players/240267a4/Louis-Moult,240267a4,Louis-Moult,eng ENG,FW,Stoke-City
116,Jonathan Walters,/en/players/0356cf4f/Jonathan-Walters,0356cf4f,Jonathan-Walt,ie IRL,"FW,MF",Stoke-City
117,Jermaine Pennant,/en/players/c6043950/Jermaine-Pennant,c6043950,Jermaine-Pennant,eng ENG,MF,Stoke-City
118,Marc Wilson,/en/players/c325c010/Marc-Wilson,c325c010,Marc-Wilso,ie IRL,"DF,MF",Stoke-City
119,John Carew,/en/players/91ef929d/John-Carew,91ef929d,John-Carew,no NOR,FW,Stoke-City
120,Eiður Guðjohnsen,/en/players/32fc9ff2/Eidur-Gudjohnsen,32fc9ff2,Eidur-Gudjoh,is ISL,"FW,MF",Stoke-City
121,Ryan Shotton,/en/players/09f82c6e/Ryan-Shotton,09f82c6e,Ryan-Shotto,eng ENG,"DF,FW",Stoke-City
122,Peter Crouch,/en/players/73d9bdc7/Peter-Crouch,73d9bdc7,Peter-Crouch,eng ENG,FW,Stoke-City
123,Jonathan Woodgate,/en/players/9482a3bd/Jonathan-Woodgate,9482a3bd,Jonathan-Woodgat,eng ENG,DF,Stoke-City
124,Matthew Upson,/en/players/1a6e6d03/Matthew-Upson,1a6e6d03,Matthew-Upso,eng ENG,DF,Stoke-City
125,Wilson Palacios,/en/players/58df81fc/Wilson-Palacios,58df81fc,Wilson-Palacio,hn HON,MF,Stoke-City
126,Cameron Jerome,/en/players/680fb5ee/Cameron-Jerome,680fb5ee,Cameron-Jerom,eng ENG,FW,Stoke-City
127,Steven Nzonzi,/en/players/c7526c18/Steven-Nzonzi,c7526c18,Steven-Nzonzi,fr FRA,MF,Stoke-City
128,Geoff Cameron,/en/players/1a160ea3/Geoff-Cameron,1a160ea3,Geoff-Camero,us USA,"DF,MF",Stoke-City
129,Charlie Adam,/en/players/aff418dc/Charlie-Adam,ff418dc,Charlie-Adam,sct SCO,MF,Stoke-City
130,Michael Kightly,/en/players/26e5c484/Michael-Kightly,26e5c484,Michael-Kight,eng ENG,"FW,MF",Stoke-City
131,Michael Owen,/en/players/88b3f52c/Michael-Owen,88b3f52c,Michael-Ow,eng ENG,FW,Stoke-City
132,Brek Shea,/en/players/adb6ae24/Brek-Shea,db6ae24,Brek-Sh,us USA,"DF,FW",Stoke-City
133,Maurice Edu,/en/players/748dbb80/Maurice-Edu,748dbb80,Maurice-Edu,us USA,"DF,MF",Stoke-City
134,Erik Pieters,/en/players/1ef37668/Erik-Pieters,1ef37668,Erik-Piet,nl NED,"DF,MF",Stoke-City
135,Marko Arnautović,/en/players/00459419/Marko-Arnautovic,00459419,Marko-Arnautovic,at AUT,"FW,MF",Stoke-City
136,Peter Odemwingie,/en/players/b16150ac/Peter-Odemwingie,b16150ac,Peter-Odemwingi,ng NGA,FW,Stoke-City
137,Stephen Ireland,/en/players/bcf30f17/Stephen-Ireland,bcf30f17,Stephen-Ireland,ie IRL,MF,Stoke-City
138,Oussama Assaidi,/en/players/483322fe/Oussama-Assaidi,483322fe,Oussama-Assaidi,ma MAR,"FW,MF",Stoke-City
139,Marc Muniesa,/en/players/4db76f57/Marc-Muniesa,4db76f57,Marc-Muni,es ESP,"DF,MF",Stoke-City
140,John Guidetti,/en/players/99bebd12/John-Guidetti,99bebd12,John-Guidetti,se SWE,FW,Stoke-City
141,Mame Biram Diouf,/en/players/7f4f3e49/Mame-Biram-Diouf,7f4f3e49,Mame-Biram-Diouf,sn SEN,"FW,MF",Stoke-City
142,Phil Bardsley,/en/players/1ae30132/Phil-Bardsley,1ae30132,Phil-Bard,sct SCO,DF,Stoke-City
143,Victor Moses,/en/players/e726e11e/Victor-Moses,726e11e,Victor-Mo,ng NGA,"DF,FW",Stoke-City
144,Bojan Krkić,/en/players/9fa0a0b8/Bojan-Krkic,9fa0a0b8,Bojan-Krkic,es ESP,"FW,MF",Stoke-City
145,Philipp Wollscheid,/en/players/c4cca587/Philipp-Wollscheid,c4cca587,Philipp-Wollscheid,de GER,DF,Stoke-City
146,Steve Sidwell,/en/players/ed083afd/Steve-Sidwell,d083afd,Steve-Sidw,eng ENG,MF,Stoke-City
147,Jack Butland,/en/players/cc70a1d5/Jack-Butland,cc70a1d5,Jack-Butland,eng ENG,GK,Stoke-City
148,Dionatan Teixeira,/en/players/f7f09bee/Dionatan-Teixeira,f7f09bee,Dionatan-Teixei,br BRA,DF,Stoke-City
149,Xherdan Shaqiri,/en/players/6421ec64/Xherdan-Shaqiri,6421ec64,Xherdan-Shaqiri,ch SUI,MF,Stoke-City
150,Glen Johnson,/en/players/8cceca90/Glen-Johnson,8cceca90,Glen-Johnso,eng ENG,DF,Stoke-City
