Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
1272,12,38,11,10,17,43,2007-2008,121,1
1273,13,38,10,12,16,42,2007-2008,129,1
1274,14,38,10,10,18,40,2007-2008,144,1
1275,15,38,11,6,21,39,2007-2008,138,1
1276,16,38,9,10,19,37,2007-2008,135,1
1277,17,38,8,12,18,36,2007-2008,132,1
1278,18,38,10,6,22,36,2007-2008,145,1
1279,19,38,8,11,19,35,2007-2008,131,1
1280,20,38,1,8,29,11,2007-2008,148,1
1281,1,38,28,6,4,90,2008-2009,119,1
1282,2,38,25,11,2,86,2008-2009,123,1
1283,3,38,25,8,5,83,2008-2009,122,1
1284,4,38,20,12,6,72,2008-2009,120,1
1285,5,38,17,12,9,63,2008-2009,125,1
1286,6,38,17,11,10,62,2008-2009,134,1
1287,7,38,14,11,13,53,2008-2009,132,1
1288,8,38,14,9,15,51,2008-2009,128,1
1289,9,38,14,9,15,51,2008-2009,136,1
1290,10,38,15,5,18,50,2008-2009,127,1
1291,11,38,12,9,17,45,2008-2009,144,1
1292,12,38,12,9,17,45,2008-2009,149,1
1293,13,38,11,8,19,41,2008-2009,135,1
1294,14,38,10,11,17,41,2008-2009,139,1
1295,15,38,10,11,17,41,2008-2009,124,1
1296,16,38,9,9,20,36,2008-2009,138,1
1297,17,38,8,11,19,35,2008-2009,150,1
1298,18,38,7,13,18,34,2008-2009,121,1
1299,19,38,7,11,20,32,2008-2009,129,1
1300,20,38,8,8,22,32,2008-2009,137,1
1301,1,38,27,5,6,86,2009-2010,122,1
1302,2,38,27,4,7,85,2009-2010,119,1
1303,3,38,23,6,9,75,2009-2010,120,1
1304,4,38,21,7,10,70,2009-2010,128,1
1305,5,38,18,13,7,67,2009-2010,127,1
1306,6,38,17,13,8,64,2009-2010,134,1
1307,7,38,18,9,11,63,2009-2010,123,1
1308,8,38,16,13,9,61,2009-2010,125,1
1309,9,38,13,11,14,50,2009-2010,131,1
1310,10,38,13,11,14,50,2009-2010,124,1
1311,11,38,11,14,13,47,2009-2010,149,1
1312,12,38,12,10,16,46,2009-2010,132,1
1313,13,38,11,11,16,44,2009-2010,138,1
1314,14,38,10,9,19,39,2009-2010,135,1
1315,15,38,9,11,18,38,2009-2010,141,1
1316,16,38,9,9,20,36,2009-2010,144,1
1317,17,38,8,11,19,35,2009-2010,136,1
1318,18,38,8,6,24,30,2009-2010,151,1
1319,19,38,6,12,20,30,2009-2010,150,1
1320,20,38,7,7,24,19,2009-2010,139,1
1321,1,38,23,11,4,80,2010-2011,119,1
1322,2,38,21,8,9,71,2010-2011,122,1
1323,3,38,21,8,9,71,2010-2011,127,1
1324,4,38,19,11,8,68,2010-2011,120,1
1325,5,38,16,14,8,62,2010-2011,128,1
1326,6,38,17,7,14,58,2010-2011,123,1
1327,7,38,13,15,10,54,2010-2011,125,1
1328,8,38,11,16,11,49,2010-2011,132,1
1329,9,38,12,12,14,48,2010-2011,134,1
1330,10,38,12,11,15,47,2010-2011,138,1
1331,11,38,12,11,15,47,2010-2011,137,1
1332,12,38,11,13,14,46,2010-2011,121,1
1333,13,38,13,7,18,46,2010-2011,149,1
1334,14,38,12,10,16,46,2010-2011,135,1
1335,15,38,11,10,17,43,2010-2011,124,1
1336,16,38,9,15,14,42,2010-2011,144,1
1337,17,38,11,7,20,40,2010-2011,141,1
1338,18,38,8,15,15,39,2010-2011,131,1
1339,19,38,10,9,19,39,2010-2011,152,1
1340,20,38,7,12,19,33,2010-2011,136,1
1341,1,38,28,5,5,89,2011-2012,127,1
1342,2,38,28,5,5,89,2011-2012,119,1
1343,3,38,21,7,10,70,2011-2012,120,1
1344,4,38,20,9,9,69,2011-2012,128,1
1345,5,38,19,8,11,65,2011-2012,121,1
1346,6,38,18,10,10,64,2011-2012,122,1
1347,7,38,15,11,12,56,2011-2012,125,1
1348,8,38,14,10,14,52,2011-2012,123,1
1349,9,38,14,10,14,52,2011-2012,132,1
1350,10,38,13,8,17,47,2011-2012,137,1
1351,11,38,12,11,15,47,2011-2012,153,1
1352,12,38,12,11,15,47,2011-2012,143,1
1353,13,38,11,12,15,45,2011-2012,138,1
1354,14,38,11,12,15,45,2011-2012,149,1
1355,15,38,11,10,17,43,2011-2012,144,1
1356,16,38,7,17,14,38,2011-2012,134,1
1357,17,38,10,7,21,37,2011-2012,154,1
1358,18,38,10,6,22,36,2011-2012,135,1
1359,19,38,8,7,23,31,2011-2012,124,1
1360,20,38,5,10,23,25,2011-2012,141,1
1361,1,38,28,5,5,89,2012-2013,119,1
1362,2,38,23,9,6,78,2012-2013,127,1
1363,3,38,22,9,7,75,2012-2013,122,1
1364,4,38,21,10,7,73,2012-2013,120,1
1365,5,38,21,9,8,72,2012-2013,128,1
1366,6,38,16,15,7,63,2012-2013,125,1
1367,7,38,16,13,9,61,2012-2013,123,1
1368,8,38,14,7,17,49,2012-2013,137,1
1369,9,38,11,13,14,46,2012-2013,153,1
1370,10,38,12,10,16,46,2012-2013,136,1
1371,11,38,10,14,14,44,2012-2013,143,1
1372,12,38,11,10,17,43,2012-2013,132,1
1373,13,38,9,15,14,42,2012-2013,149,1
1374,14,38,9,14,15,41,2012-2013,126,1
1375,15,38,10,11,17,41,2012-2013,134,1
1376,16,38,11,8,19,41,2012-2013,121,1
1377,17,38,9,12,17,39,2012-2013,138,1
1378,18,38,9,9,20,36,2012-2013,144,1
1379,19,38,6,10,22,28,2012-2013,145,1
1380,20,38,4,13,21,25,2012-2013,154,1
1381,1,38,27,5,6,86,2013-2014,127,1
1382,2,38,26,6,6,84,2013-2014,123,1
1383,3,38,25,7,6,82,2013-2014,122,1
1384,4,38,24,7,7,79,2013-2014,120,1
1385,5,38,21,9,8,72,2013-2014,125,1
1386,6,38,21,6,11,69,2013-2014,128,1
1387,7,38,19,7,12,64,2013-2014,119,1
1388,8,38,15,11,12,56,2013-2014,126,1
1389,9,38,13,11,14,50,2013-2014,149,1
1390,10,38,15,4,19,49,2013-2014,121,1
1391,11,38,13,6,19,45,2013-2014,142,1
1392,12,38,11,9,18,42,2013-2014,153,1
1393,13,38,11,7,20,40,2013-2014,136,1
1394,14,38,10,8,20,38,2013-2014,138,1
1395,15,38,10,8,20,38,2013-2014,134,1
1396,16,38,10,7,21,37,2013-2014,150,1
1397,17,38,7,15,16,36,2013-2014,137,1
1398,18,38,8,9,21,33,2013-2014,143,1
1399,19,38,9,5,24,32,2013-2014,132,1
1400,20,38,7,9,22,30,2013-2014,155,1
1401,1,38,26,9,3,87,2014-2015,122,1
1402,2,38,24,7,7,79,2014-2015,127,1
1403,3,38,22,9,7,75,2014-2015,120,1
1404,4,38,20,10,8,70,2014-2015,119,1
1405,5,38,19,7,12,64,2014-2015,128,1
1406,6,38,18,8,12,62,2014-2015,123,1
1407,7,38,18,6,14,60,2014-2015,126,1
1408,8,38,16,8,14,56,2014-2015,153,1
1409,9,38,15,9,14,54,2014-2015,149,1
1410,10,38,13,9,16,48,2014-2015,142,1
1411,11,38,12,11,15,47,2014-2015,125,1
1412,12,38,12,11,15,47,2014-2015,136,1
1413,13,38,11,11,16,44,2014-2015,137,1
1414,14,38,11,8,19,41,2014-2015,140,1
1415,15,38,10,9,19,39,2014-2015,121,1
1416,16,38,7,17,14,38,2014-2015,138,1
1417,17,38,10,8,20,38,2014-2015,134,1
1418,18,38,8,11,19,35,2014-2015,150,1
1419,19,38,7,12,19,33,2014-2015,151,1
1420,20,38,8,6,24,30,2014-2015,154,1
1421,1,38,23,12,3,81,2015-2016,140,1
1422,2,38,20,11,7,71,2015-2016,120,1
1423,3,38,19,13,6,70,2015-2016,128,1
1424,4,38,19,9,10,66,2015-2016,127,1
1425,5,38,19,9,10,66,2015-2016,119,1
1426,6,38,18,9,11,63,2015-2016,126,1
1427,7,38,16,14,8,62,2015-2016,136,1
1428,8,38,16,12,10,60,2015-2016,123,1
1429,9,38,14,9,15,51,2015-2016,149,1
1430,10,38,12,14,12,50,2015-2016,122,1
1431,11,38,11,14,13,47,2015-2016,125,1
1432,12,38,12,11,15,47,2015-2016,153,1
1433,13,38,12,9,17,45,2015-2016,147,1
1434,14,38,10,13,15,43,2015-2016,137,1
1435,15,38,11,9,18,42,2015-2016,142,1
1436,16,38,11,9,18,42,2015-2016,156,1
1437,17,38,9,12,17,39,2015-2016,138,1
1438,18,38,9,10,19,37,2015-2016,121,1
1439,19,38,9,7,22,34,2015-2016,143,1
1440,20,38,3,8,27,17,2015-2016,134,1
1441,1,38,30,3,5,93,2016-2017,122,1
1442,2,38,26,8,4,86,2016-2017,128,1
1443,3,38,23,9,6,78,2016-2017,127,1
1444,4,38,22,10,6,76,2016-2017,123,1
1445,5,38,23,6,9,75,2016-2017,120,1
1446,6,38,18,15,5,69,2016-2017,119,1
1447,7,38,17,10,11,61,2016-2017,125,1
1448,8,38,12,10,16,46,2016-2017,126,1
1449,9,38,12,10,16,46,2016-2017,156,1
1450,10,38,12,9,17,45,2016-2017,137,1
1451,11,38,12,9,17,45,2016-2017,136,1
1452,12,38,12,8,18,44,2016-2017,140,1
1453,13,38,11,11,16,44,2016-2017,149,1
1454,14,38,12,5,21,41,2016-2017,142,1
1455,15,38,12,5,21,41,2016-2017,153,1
1456,16,38,11,7,20,40,2016-2017,151,1
1457,17,38,11,7,20,40,2016-2017,147,1
1458,18,38,9,7,22,34,2016-2017,150,1
1459,19,38,5,13,20,28,2016-2017,129,1
1460,20,38,6,6,26,24,2016-2017,138,1
1461,1,38,32,4,2,100,2017-2018,127,1
1462,2,38,25,6,7,81,2017-2018,119,1
1463,3,38,23,8,7,77,2017-2018,128,1
1464,4,38,21,12,5,75,2017-2018,123,1
1465,5,38,21,7,10,70,2017-2018,122,1
1466,6,38,19,6,13,63,2017-2018,120,1
1467,7,38,14,12,12,54,2017-2018,151,1
1468,8,38,13,10,15,49,2017-2018,125,1
1469,9,38,12,11,15,47,2017-2018,140,1
1470,10,38,12,8,18,44,2017-2018,121,1
1471,11,38,11,11,16,44,2017-2018,142,1
1472,12,38,11,11,16,44,2017-2018,156,1
1473,13,38,10,12,16,42,2017-2018,136,1
1474,14,38,11,8,19,41,2017-2018,147,1
1475,15,38,9,13,16,40,2017-2018,157,1
1476,16,38,9,10,19,37,2017-2018,158,1
1477,17,38,7,15,16,36,2017-2018,126,1
1478,18,38,8,9,21,33,2017-2018,153,1
1479,19,38,7,12,19,33,2017-2018,149,1
1480,20,38,6,13,19,31,2017-2018,137,1
1481,1,38,32,2,4,98,2018-2019,127,1
1482,2,38,30,7,1,97,2018-2019,123,1
1483,3,38,21,9,8,72,2018-2019,122,1
1484,4,38,23,2,13,71,2018-2019,128,1
1485,5,38,21,7,10,70,2018-2019,120,1
1486,6,38,19,9,10,66,2018-2019,119,1
1487,7,38,16,9,13,57,2018-2019,141,1
1488,8,38,15,9,14,54,2018-2019,125,1
1489,9,38,15,7,16,52,2018-2019,140,1
1490,10,38,15,7,16,52,2018-2019,136,1
1491,11,38,14,8,16,50,2018-2019,147,1
1492,12,38,14,7,17,49,2018-2019,142,1
1493,13,38,12,9,17,45,2018-2019,121,1
1494,14,38,13,6,19,45,2018-2019,156,1
1495,15,38,11,7,20,40,2018-2019,151,1
1496,16,38,9,12,17,39,2018-2019,126,1
1497,17,38,9,9,20,36,2018-2019,157,1
1498,18,38,10,4,24,34,2018-2019,155,1
1499,19,38,7,5,26,26,2018-2019,132,1
1500,20,38,3,7,28,16,2018-2019,158,1
1501,1,38,32,3,3,99,2019-2020,123,1
1502,2,38,26,3,9,81,2019-2020,127,1
1503,3,38,18,12,8,66,2019-2020,119,1
1504,4,38,20,6,12,66,2019-2020,122,1
1505,5,38,18,8,12,62,2019-2020,140,1
1506,6,38,16,11,11,59,2019-2020,128,1
1507,7,38,15,14,9,59,2019-2020,141,1
1508,8,38,14,14,10,56,2019-2020,120,1
1509,9,38,14,12,12,54,2019-2020,146,1
1510,10,38,15,9,14,54,2019-2020,151,1
1511,11,38,15,7,16,52,2019-2020,126,1
1512,12,38,13,10,15,49,2019-2020,125,1
1513,13,38,11,11,16,44,2019-2020,121,1
1514,14,38,11,10,17,43,2019-2020,142,1
1515,15,38,9,14,15,41,2019-2020,157,1
1516,16,38,10,9,19,39,2019-2020,136,1
1517,17,38,9,8,21,35,2019-2020,134,1
1518,18,38,9,7,22,34,2019-2020,156,1
1519,19,38,8,10,20,34,2019-2020,147,1
1520,20,38,5,6,27,21,2019-2020,143,1
1521,1,38,27,5,6,86,2020-2021,127,1
1522,2,38,21,11,6,74,2020-2021,119,1
1523,3,38,20,9,9,69,2020-2021,123,1
1524,4,38,19,10,9,67,2020-2021,122,1
1525,5,38,20,6,12,66,2020-2021,140,1
1526,6,38,19,8,11,65,2020-2021,136,1
1527,7,38,18,8,12,62,2020-2021,128,1
1528,8,38,18,7,13,61,2020-2021,120,1
1529,9,38,18,5,15,59,2020-2021,133,1
1530,10,38,17,8,13,59,2020-2021,125,1
1531,11,38,16,7,15,55,2020-2021,134,1
1532,12,38,12,9,17,45,2020-2021,121,1
1533,13,38,12,9,17,45,2020-2021,141,1
1534,14,38,12,8,18,44,2020-2021,142,1
1535,15,38,12,7,19,43,2020-2021,126,1
1536,16,38,9,14,15,41,2020-2021,157,1
1537,17,38,10,9,19,39,2020-2021,151,1
1538,18,38,5,13,20,28,2020-2021,132,1
1539,19,38,5,11,22,26,2020-2021,137,1
1540,20,38,7,2,29,23,2020-2021,146,1
1541,1,38,29,6,3,93,2021-2022,127,1
1542,2,38,28,8,2,92,2021-2022,123,1
1543,3,38,21,11,6,74,2021-2022,122,1
1544,4,38,22,5,11,71,2021-2022,128,1
1545,5,38,22,3,13,69,2021-2022,120,1
1546,6,38,16,10,12,58,2021-2022,119,1
1547,7,38,16,8,14,56,2021-2022,136,1
1548,8,38,14,10,14,52,2021-2022,140,1
1549,9,38,12,15,11,51,2021-2022,157,1
1550,10,38,15,6,17,51,2021-2022,141,1
1551,11,38,13,10,15,49,2021-2022,121,1
1552,12,38,11,15,12,48,2021-2022,142,1
1553,13,38,13,7,18,46,2021-2022,159,1
1554,14,38,13,6,19,45,2021-2022,134,1
1555,15,38,9,13,16,40,2021-2022,126,1
1556,16,38,11,6,21,39,2021-2022,125,1
1557,17,38,9,11,18,38,2021-2022,133,1
1558,18,38,7,14,17,35,2021-2022,151,1
1559,19,38,6,5,27,23,2021-2022,147,1
1560,20,38,5,7,26,22,2021-2022,143,1
