id;year;league_id;rank;point;nb_match;nb_team;year_1_point;year_2_point;year_3_point;year_4_point
93;2020;3;3;74.784;72;7;15.214;9.857;14.571;16.428
94;2020;5;4;70.653;58;7;12.642;17.333;14.25;11.5
95;2020;2;5;59.248;45;6;10.583;11.5;14.416;11.083
96;2021;1;1;100.569;86;7;18.571;22.642;20.071;14.928
97;2021;4;2;97.855;74;7;18.928;19.571;19.714;20.142
98;2021;5;3;75.438;65;7;14.928;12.642;17.333;14.25
99;2021;3;4;73.57;55;7;18.714;15.214;9.857;14.571
100;2021;2;5;56.081;40;6;11.666;10.583;11.5;14.416
101;2022;1;1;106.641;77;7;24.357;18.571;22.642;20.071
102;2022;4;2;96.141;75;7;19.5;18.928;19.571;19.714
103;2022;5;3;76.902;65;7;16.285;14.928;12.642;17.333
104;2022;3;4;75.213;65;7;15.214;18.714;15.214;9.857
105;2022;2;5;60.081;62;6;7.916;11.666;10.583;11.5
